"idp","mqd","biomass","zp","reserutile","troph_r","species","ownership"
719627,0.268935444111843,208.663508435808,880,63,3.25268,"Hêtre","Autres forêts publiques RF"
744546,0.275884533631929,366.721798575326,475,120.150001525879,2.5779,"Pin sylvestre","Autres forêts publiques RF"
776024,0.292317825373142,475.357022600971,238,62.9999961853027,2.41803,"Pin sylvestre","Forêts domaniales RF"
714068,0.553365310145709,430.309981548792,590,60.9000053405762,5.71921,"Sapin pectiné","Autres forêts publiques RF"
741349,0.426802025187439,581.114726191778,616,56,3.49817,"Sapin pectiné","Autres forêts publiques RF"
770428,0.362554227466121,286.171687434276,260,62.9999961853027,2.99311,"Chêne rouvre","Autres forêts publiques RF"
729317,0.286122728403508,423.393296004305,602,25.1999988555908,3.84374,"Hêtre","Autres forêts publiques RF"
707991,0.302065659876972,38.6470662780335,712,37.7999992370605,2.57372,"Hêtre","Forêts domaniales RF"
762272,0.222157335874691,390.667766945813,351,117.450004577637,3.5222,"Sapin pectiné","Autres forêts publiques RF"
740060,0.237289194653425,290.393552496252,330,65.25,1.54465,"Chêne rouvre","Autres forêts publiques RF"
717236,0.258544907350456,203.036140305568,603,60.9000015258789,4.81725,"Chêne rouvre","Autres forêts publiques RF"
763896,0.344531140137946,100.130192606939,296,56.6999969482422,1.4454,"Hêtre","Autres forêts publiques RF"
746142,0.279670253120272,321.373604405526,926,94.5,4.21796,"Hêtre","Autres forêts publiques RF"
747030,0.356325123160109,575.075814853011,660,50.75,3.26287,"Sapin pectiné","Forêts privées et autres - Hors PSG"
722820,0.31297588939972,153.029700284516,888,43.3999977111816,2.7221,"Sapin pectiné","Autres forêts publiques RF"
759263,0.445579082895782,482.342905965933,966,8.70000076293945,4.40569,"Hêtre","Autres forêts publiques RF"
712718,0.490349067149571,272.854269903177,831,8.70000076293945,3.71831,"Sapin pectiné","Forêts domaniales RF"
711260,0.268960358354725,427.557204182404,898,55.5,6.5,"Sapin pectiné","Autres forêts publiques RF"
