"idp","pro_psg","pnr","expl","nb_cut","nb_tree"
808938,"privé - sans psg","dans PNR","facile",1,41
826445,"publis - communales","dans PNR","facile",1,13
821645,"publis - communales","dans PNR","facile",1,15
856707,"privé - sans psg","dans PNR","très facile",3,14
803561,"publis - communales","dans PNR","difficile",1,20
880689,"publics - domaniales","dans PNR","très facile",1,7
878029,"privé - psg","dans PNR","très facile",3,27
846846,"privé - psg","dans PNR","difficile",4,23
936462,"publis - communales","hors PNR","très facile",2,5
974283,"publics - domaniales","hors PNR","très facile",4,12
933186,"privé - psg","hors PNR","difficile",9,20
913856,"privé - psg","hors PNR","très facile",6,18
925337,"publics - domaniales","dans PNR","très facile",3,21
915083,"publics - domaniales","hors PNR","difficile",10,23
939436,"publics - domaniales","hors PNR","facile",3,10
938842,"publics - domaniales","hors PNR","difficile",2,13
961868,"publics - domaniales","dans PNR","très facile",1,8
945537,"publis - communales","dans PNR","difficile",1,2
973094,"publics - domaniales","dans PNR","facile",1,11
946287,"publics - domaniales","hors PNR","facile",2,11
947026,"privé - sans psg","hors PNR","très facile",1,17
921308,"publis - communales","hors PNR","très facile",2,10
933654,"publis - communales","hors PNR","difficile",1,12
961211,"privé - psg","dans PNR","facile",6,11
939274,"publis - communales","hors PNR","facile",1,18
915192,"publis - communales","hors PNR","facile",1,13
931933,"privé - psg","hors PNR","difficile",7,25
979760,"publics - domaniales","dans PNR","facile",4,12
928073,"publis - communales","dans PNR","difficile",1,19
934707,"privé - sans psg","dans PNR","difficile",1,22
954925,"publis - communales","dans PNR","difficile",2,14
973602,"publis - communales","dans PNR","difficile",1,10
980990,"publis - communales","dans PNR","moyenne",3,14
962680,"publis - communales","hors PNR","difficile",1,16
907223,"privé - psg","dans PNR","facile",3,15
932122,"publis - communales","hors PNR","difficile",1,9
927412,"publis - communales","dans PNR","moyenne",3,19
970631,"publis - communales","dans PNR","difficile",2,24
904346,"privé - psg","dans PNR","moyenne",2,17
969959,"privé - psg","hors PNR","difficile",10,17
944075,"publics - domaniales","dans PNR","difficile",3,23
928625,"privé - sans psg","hors PNR","très facile",3,27
972185,"publics - domaniales","hors PNR","facile",1,17
936663,"publis - communales","hors PNR","difficile",1,5
949966,"privé - sans psg","hors PNR","facile",2,7
915382,"publis - communales","hors PNR","très facile",5,11
952411,"privé - sans psg","hors PNR","très facile",2,30
934252,"privé - sans psg","hors PNR","très facile",3,21
920231,"privé - sans psg","hors PNR","difficile",2,23
921816,"privé - sans psg","dans PNR","très facile",3,20
922694,"privé - sans psg","dans PNR","très facile",27,28
909408,"publis - communales","dans PNR","facile",5,16
955720,"privé - sans psg","dans PNR","moyenne",2,17
966090,"privé - sans psg","hors PNR","très facile",20,20
908694,"publics - domaniales","dans PNR","moyenne",2,15
905874,"privé - psg","dans PNR","facile",1,12
951847,"publics - domaniales","dans PNR","facile",2,14
911369,"privé - sans psg","dans PNR","moyenne",2,15
929413,"privé - psg","dans PNR","difficile",2,7
916119,"publis - communales","dans PNR","difficile",2,8
930434,"publics - domaniales","dans PNR","difficile",1,26
915581,"publics - domaniales","dans PNR","difficile",4,12
933452,"publis - communales","dans PNR","moyenne",2,15
976517,"publis - communales","dans PNR","difficile",2,7
1016922,"publis - communales","hors PNR","difficile",1,22
1004441,"privé - psg","hors PNR","difficile",1,18
1015163,"privé - psg","hors PNR","difficile",1,4
1015675,"publis - communales","dans PNR","facile",2,14
1007673,"publics - domaniales","dans PNR","facile",4,16
1020390,"publics - domaniales","dans PNR","difficile",5,14
1026624,"publics - domaniales","hors PNR","difficile",3,23
1019315,"publics - domaniales","dans PNR","difficile",6,17
1011362,"publics - domaniales","dans PNR","très facile",2,8
1022089,"publics - domaniales","dans PNR","facile",4,13
1010557,"publics - domaniales","hors PNR","moyenne",3,17
1019219,"publics - domaniales","dans PNR","difficile",4,13
1018347,"publis - communales","hors PNR","très facile",2,17
1019570,"publis - communales","hors PNR","difficile",1,7
1002291,"publis - communales","hors PNR","difficile",1,20
1014909,"publis - communales","hors PNR","difficile",2,7
1004393,"publics - domaniales","dans PNR","moyenne",1,12
1007784,"publis - communales","hors PNR","moyenne",1,10
1029885,"privé - psg","dans PNR","difficile",2,16
1027444,"privé - psg","dans PNR","difficile",2,16
1014202,"publis - communales","dans PNR","très facile",4,9
1013437,"publics - domaniales","hors PNR","facile",2,14
1011706,"publis - communales","dans PNR","difficile",3,16
1003728,"publis - communales","dans PNR","difficile",2,17
1012939,"privé - sans psg","dans PNR","difficile",6,19
1025853,"publis - communales","dans PNR","difficile",2,11
1002880,"privé - sans psg","dans PNR","difficile",8,20
1023208,"publis - communales","hors PNR","difficile",1,15
1016951,"publis - communales","dans PNR","moyenne",1,16
1001270,"publis - communales","dans PNR","difficile",2,15
1003381,"publis - communales","dans PNR","difficile",1,15
1022984,"privé - sans psg","dans PNR","difficile",9,9
1027293,"publics - domaniales","hors PNR","très facile",1,19
1012863,"publis - communales","hors PNR","difficile",3,16
1019327,"publics - domaniales","dans PNR","très facile",2,13
1005131,"publics - domaniales","hors PNR","difficile",1,13
1014172,"publics - domaniales","hors PNR","très facile",5,8
1018745,"publis - communales","hors PNR","difficile",4,16
1013821,"publis - communales","hors PNR","difficile",5,22
1012690,"publics - domaniales","dans PNR","très facile",1,21
1012770,"privé - sans psg","dans PNR","difficile",3,15
1013079,"privé - sans psg","dans PNR","facile",1,23
1002067,"privé - sans psg","dans PNR","très facile",1,6
1020983,"publis - communales","dans PNR","difficile",1,18
1014153,"publics - domaniales","dans PNR","facile",1,11
1027705,"privé - sans psg","dans PNR","difficile",1,23
1013343,"publis - communales","dans PNR","très facile",1,14
1014060,"publis - communales","dans PNR","difficile",2,16
1011174,"privé - sans psg","dans PNR","facile",3,9
1028229,"publis - communales","dans PNR","difficile",12,12
1018789,"privé - sans psg","dans PNR","difficile",1,2
1023809,"privé - psg","dans PNR","très facile",2,4
1018313,"publis - communales","dans PNR","moyenne",1,10
1130900,"publics - domaniales","hors PNR","facile",2,16
1108808,"publics - domaniales","hors PNR","très facile",1,11
1124238,"publics - domaniales","hors PNR","difficile",1,12
1109037,"publics - domaniales","hors PNR","facile",3,12
1119674,"publics - domaniales","hors PNR","difficile",2,7
1101666,"publics - domaniales","hors PNR","facile",6,13
1121382,"publics - domaniales","dans PNR","difficile",3,21
1119816,"publics - domaniales","hors PNR","difficile",1,23
1128984,"publics - domaniales","hors PNR","moyenne",1,13
1100749,"publics - domaniales","hors PNR","très facile",3,6
1107886,"privé - psg","dans PNR","très facile",1,11
1113312,"publics - domaniales","dans PNR","difficile",3,8
1109316,"privé - psg","dans PNR","facile",1,17
1126669,"publics - domaniales","hors PNR","difficile",5,28
1107655,"publics - domaniales","hors PNR","difficile",1,6
1127273,"publis - communales","dans PNR","moyenne",3,16
1101535,"publis - communales","hors PNR","difficile",1,12
1106347,"privé - sans psg","hors PNR","facile",4,4
1122436,"publics - domaniales","hors PNR","très facile",1,17
1126117,"privé - psg","dans PNR","difficile",2,11
1118347,"publics - domaniales","dans PNR","facile",3,18
1117883,"publis - communales","hors PNR","facile",1,11
1123727,"publis - communales","hors PNR","très facile",1,11
1116424,"publis - communales","hors PNR","très facile",1,8
1126521,"publics - domaniales","dans PNR","facile",3,17
1108588,"privé - sans psg","dans PNR","facile",3,18
1118098,"publis - communales","hors PNR","difficile",4,11
1101903,"publis - communales","dans PNR","difficile",2,13
1119165,"publics - domaniales","dans PNR","difficile",3,14
1111549,"publis - communales","dans PNR","difficile",2,19
1130629,"privé - psg","dans PNR","difficile",8,23
1107617,"publics - domaniales","dans PNR","facile",3,14
1102276,"publis - communales","dans PNR","difficile",4,18
1124541,"privé - sans psg","dans PNR","très facile",1,15
1111303,"publis - communales","dans PNR","facile",1,17
1125999,"publis - communales","hors PNR","très facile",5,10
1107947,"publics - domaniales","hors PNR","difficile",3,10
1129938,"publics - domaniales","hors PNR","facile",1,13
1130208,"privé - psg","hors PNR","difficile",5,15
1114070,"privé - sans psg","dans PNR","très facile",18,18
1121748,"publics - domaniales","dans PNR","difficile",12,16
1125070,"privé - sans psg","hors PNR","très facile",6,6
1121381,"privé - sans psg","dans PNR","moyenne",2,12
1119583,"publis - communales","dans PNR","facile",2,19
1112119,"publics - domaniales","dans PNR","facile",2,14
1113664,"publics - domaniales","dans PNR","difficile",1,7
1100910,"privé - psg","dans PNR","difficile",2,6
1214606,"privé - sans psg","hors PNR","très facile",1,13
1209076,"publics - domaniales","hors PNR","difficile",3,23
1208249,"privé - psg","hors PNR","difficile",2,14
1221397,"publis - communales","hors PNR","difficile",2,18
1225505,"publics - domaniales","hors PNR","facile",1,8
1229644,"publics - domaniales","dans PNR","très facile",1,1
1200389,"publics - domaniales","dans PNR","difficile",2,9
1230955,"publics - domaniales","dans PNR","difficile",2,17
1219282,"publics - domaniales","dans PNR","difficile",1,27
1228145,"publis - communales","dans PNR","difficile",2,11
1206469,"publics - domaniales","hors PNR","difficile",3,7
1206704,"privé - sans psg","dans PNR","difficile",2,6
1223528,"publis - communales","hors PNR","très facile",3,15
1204456,"privé - psg","hors PNR","difficile",6,26
1228177,"publics - domaniales","dans PNR","moyenne",1,18
1224483,"privé - psg","hors PNR","facile",4,16
1212777,"publis - communales","hors PNR","difficile",1,18
1212178,"privé - psg","hors PNR","moyenne",3,10
1211047,"publis - communales","hors PNR","très facile",2,17
1209852,"publis - communales","hors PNR","difficile",1,12
1220185,"publics - domaniales","hors PNR","difficile",1,28
1220096,"publis - communales","dans PNR","difficile",2,15
1227473,"publis - communales","dans PNR","difficile",2,22
