"idp","pro_psg","pnr","expl","nb_cut","nb_tree"
121219,"publis - communales","hors PNR",NA,1,14
124429,"privé - sans psg","dans PNR",NA,12,20
117748,"publis - communales","dans PNR",NA,2,8
126091,"privé - psg","dans PNR",NA,1,11
356480,"privé - psg","dans PNR","difficile",1,10
677367,"publics - domaniales","dans PNR","difficile",3,17
256000,"publis - communales","dans PNR",NA,6,14
510841,"privé - psg","dans PNR","difficile",2,10
349754,"privé - psg","dans PNR","difficile",2,19
3470,"publis - communales","dans PNR",NA,1,7
1410469,"privé - sans psg","hors PNR","moyenne",0,14
706866,"privé - psg","hors PNR","facile",0,16
35502,"publics - domaniales","dans PNR",NA,0,11
1303474,"publis - communales","hors PNR","difficile",0,15
919999,"privé - sans psg","hors PNR","moyenne",0,17
1305520,"publis - communales","hors PNR","facile",0,9
1201912,"publis - communales","hors PNR","facile",0,18
1505441,"publics - domaniales","dans PNR","difficile",0,19
255274,"publics - domaniales","dans PNR",NA,0,11
816202,"publics - domaniales","hors PNR","très facile",0,7
1714651,"privé - psg","hors PNR","difficile",0,15
1741188,"privé - sans psg","dans PNR","moyenne",0,17
1635724,"publics - domaniales","dans PNR","très facile",0,8
759671,"privé - sans psg","dans PNR","facile",0,23
1019509,"publics - domaniales","dans PNR","difficile",0,5
1916188,"publics - domaniales","dans PNR","facile",0,20
1550605,"publis - communales","dans PNR","moyenne",0,17
1814496,"privé - sans psg","dans PNR","très facile",0,5
503146,"privé - sans psg","dans PNR","très facile",0,14
1935541,"publics - domaniales","hors PNR","difficile",0,4
453183,"privé - sans psg","hors PNR","moyenne",0,17
1539364,"privé - psg","dans PNR","difficile",0,13
1817530,"publis - communales","hors PNR","difficile",0,17
809266,"privé - psg","hors PNR","très facile",0,19
1028374,"privé - sans psg","hors PNR","facile",0,17
359745,"publics - domaniales","dans PNR","moyenne",0,12
868366,"privé - sans psg","dans PNR","facile",0,34
917298,"privé - sans psg","hors PNR","très facile",0,43
1316099,"publis - communales","dans PNR","difficile",0,14
271589,"publis - communales","hors PNR",NA,0,11
372601,"publis - communales","dans PNR","difficile",0,9
1430253,"publis - communales","dans PNR","moyenne",0,10
9491,"publis - communales","hors PNR",NA,0,16
611320,"publics - domaniales","hors PNR","difficile",0,8
1222197,"privé - sans psg","hors PNR","facile",0,25
1403774,"privé - sans psg","dans PNR","difficile",0,13
422718,"privé - psg","dans PNR","difficile",0,8
1630045,"privé - psg","hors PNR","très facile",0,17
1404894,"publis - communales","hors PNR","difficile",0,14
2046433,"publis - communales","dans PNR","facile",0,10
856732,"privé - sans psg","dans PNR","facile",0,20
649287,"publis - communales","hors PNR","difficile",0,13
559391,"publis - communales","dans PNR","facile",0,13
11142,"privé - psg","dans PNR",NA,0,8
1910033,"publics - domaniales","dans PNR","facile",0,7
1714193,"privé - sans psg","hors PNR","facile",0,28
536455,"privé - sans psg","dans PNR","moyenne",0,20
1306829,"privé - psg","dans PNR","difficile",0,14
928263,"publis - communales","hors PNR","très facile",0,11
542373,"publics - domaniales","hors PNR","difficile",0,11
467230,"privé - sans psg","dans PNR","très facile",0,3
1844674,"privé - psg","dans PNR","très facile",0,12
1620958,"privé - sans psg","hors PNR","très facile",0,21
957100,"privé - psg","hors PNR","difficile",0,11
1314570,"privé - sans psg","hors PNR","facile",0,7
2022611,"publics - domaniales","dans PNR","difficile",0,13
206854,"publics - domaniales","hors PNR",NA,0,9
1208104,"publis - communales","dans PNR","difficile",0,18
253835,"privé - sans psg","dans PNR",NA,0,2
1902247,"privé - sans psg","dans PNR","difficile",0,23
2012026,"publis - communales","dans PNR","difficile",0,17
1907275,"publics - domaniales","hors PNR","difficile",0,12
1700718,"publics - domaniales","dans PNR","difficile",0,13
818571,"privé - sans psg","dans PNR","facile",0,17
238561,"publics - domaniales","dans PNR",NA,0,13
365947,"publics - domaniales","hors PNR","moyenne",0,13
361414,"privé - sans psg","dans PNR","moyenne",0,16
43606,"privé - sans psg","dans PNR",NA,0,10
871394,"publis - communales","dans PNR","difficile",0,15
1416613,"privé - psg","dans PNR","moyenne",0,8
1846483,"privé - sans psg","hors PNR","moyenne",0,7
1342122,"privé - sans psg","dans PNR","facile",0,9
337309,"publis - communales","dans PNR","difficile",0,15
212973,"publis - communales","hors PNR",NA,0,14
1639648,"privé - psg","dans PNR","difficile",0,19
1328241,"publics - domaniales","hors PNR","facile",0,8
1754680,"publics - domaniales","hors PNR","difficile",0,12
1521216,"privé - sans psg","dans PNR","facile",0,7
671084,"privé - psg","hors PNR","très facile",0,19
1128655,"publics - domaniales","hors PNR","difficile",0,7
1807925,"publis - communales","hors PNR","difficile",0,8
1647222,"privé - sans psg","dans PNR","facile",0,14
236925,"publis - communales","hors PNR",NA,0,7
717236,"publis - communales","hors PNR","très facile",0,10
1225433,"publics - domaniales","hors PNR","facile",0,21
378505,"publics - domaniales","hors PNR","difficile",0,13
2019021,"privé - sans psg","dans PNR","difficile",0,12
47686,"privé - sans psg","dans PNR",NA,0,11
365990,"privé - psg","dans PNR","difficile",0,12
583916,"privé - sans psg","dans PNR","facile",0,8
1812741,"publis - communales","hors PNR","difficile",0,16
459094,"publis - communales","hors PNR","facile",0,18
936500,"publis - communales","hors PNR","facile",0,8
1807617,"publics - domaniales","dans PNR","difficile",0,7
124854,"publics - domaniales","dans PNR",NA,0,17
961467,"privé - sans psg","hors PNR","très facile",0,2
1500503,"publics - domaniales","hors PNR","difficile",0,21
744546,"publis - communales","hors PNR","très facile",0,16
1208849,"publics - domaniales","hors PNR","difficile",0,14
1350260,"publis - communales","hors PNR","difficile",0,11
848930,"privé - sans psg","dans PNR","difficile",0,10
750358,"publis - communales","hors PNR","facile",0,9
1502288,"publis - communales","hors PNR","très facile",0,18
376841,"publics - domaniales","dans PNR","difficile",0,8
1618252,"publics - domaniales","dans PNR","difficile",0,20
206732,"privé - sans psg","hors PNR",NA,0,16
263901,"privé - psg","dans PNR",NA,0,10
1333038,"publis - communales","hors PNR","très facile",0,14
576028,"publis - communales","hors PNR","très facile",0,23
1323304,"publis - communales","hors PNR","difficile",0,18
608069,"privé - sans psg","hors PNR","facile",0,1
1928736,"publics - domaniales","hors PNR","difficile",0,8
1130895,"publis - communales","dans PNR","facile",0,24
1313311,"publics - domaniales","hors PNR","facile",0,25
1727190,"privé - sans psg","dans PNR","difficile",0,9
671632,"privé - sans psg","dans PNR","très facile",0,1
917299,"publics - domaniales","hors PNR","facile",0,16
264278,"publics - domaniales","hors PNR",NA,0,6
13224,"publis - communales","dans PNR",NA,0,10
962621,"publis - communales","hors PNR","facile",0,24
131096,"privé - psg","dans PNR",NA,0,7
2025019,"publics - domaniales","dans PNR","facile",0,26
1311818,"privé - sans psg","dans PNR","très facile",0,8
431746,"publis - communales","dans PNR","facile",0,12
1811732,"publics - domaniales","hors PNR","très facile",0,9
241500,"privé - sans psg","dans PNR",NA,0,14
760222,"privé - sans psg","dans PNR","difficile",0,14
453210,"publis - communales","dans PNR","difficile",0,15
667191,"publis - communales","dans PNR","facile",0,11
1628955,"publis - communales","hors PNR","très facile",0,29
113438,"publis - communales","dans PNR",NA,0,12
54169,"publis - communales","hors PNR",NA,0,9
929537,"publics - domaniales","dans PNR","difficile",0,8
413898,"publics - domaniales","hors PNR","difficile",0,15
9999,"publis - communales","dans PNR",NA,0,6
1103425,"privé - sans psg","dans PNR","facile",0,13
1309328,"privé - sans psg","dans PNR","difficile",0,13
610491,"publis - communales","dans PNR","très facile",0,17
151108,"publis - communales","dans PNR",NA,0,11
41381,"privé - sans psg","hors PNR",NA,0,12
1012467,"publis - communales","dans PNR","facile",0,18
701467,"privé - sans psg","hors PNR","facile",0,8
847052,"privé - sans psg","dans PNR","facile",0,9
1735402,"publics - domaniales","hors PNR","très facile",0,4
39171,"privé - sans psg","hors PNR",NA,0,11
827482,"publis - communales","dans PNR","facile",0,4
2020483,"publics - domaniales","hors PNR","facile",0,12
1832416,"publis - communales","hors PNR","difficile",0,10
1943352,"publics - domaniales","dans PNR","difficile",0,15
854075,"publis - communales","hors PNR","difficile",0,16
1636476,"publis - communales","hors PNR","difficile",0,11
2015025,"privé - psg","dans PNR","difficile",0,4
647253,"publics - domaniales","dans PNR","difficile",0,6
1737626,"privé - sans psg","dans PNR","difficile",0,30
344731,"publics - domaniales","hors PNR","difficile",0,15
1837529,"privé - sans psg","dans PNR","difficile",0,14
1344900,"publis - communales","dans PNR","moyenne",0,18
426983,"privé - psg","hors PNR","très facile",0,3
1519006,"privé - sans psg","hors PNR","facile",0,17
108165,"publics - domaniales","hors PNR",NA,0,16
1947666,"privé - sans psg","dans PNR","moyenne",0,12
377440,"publis - communales","dans PNR","difficile",0,6
1907738,"publis - communales","dans PNR","moyenne",0,8
404210,"publis - communales","dans PNR","moyenne",0,8
1653745,"privé - sans psg","dans PNR","difficile",0,5
344272,"privé - sans psg","dans PNR","très facile",0,11
146954,"publis - communales","dans PNR",NA,0,9
730551,"privé - sans psg","dans PNR","très facile",0,21
901988,"publics - domaniales","hors PNR","difficile",0,22
1204560,"privé - sans psg","hors PNR","facile",0,8
1125527,"publis - communales","dans PNR","difficile",0,14
178,"publis - communales","hors PNR",NA,0,18
1452445,"publis - communales","hors PNR","très facile",0,17
1230582,"publis - communales","dans PNR","difficile",0,16
1850226,"privé - sans psg","dans PNR","difficile",0,7
1924747,"publis - communales","hors PNR","facile",0,17
551926,"privé - sans psg","dans PNR","difficile",0,18
405833,"publics - domaniales","dans PNR","difficile",0,11
1009648,"publics - domaniales","dans PNR","difficile",0,5
144874,"publis - communales","dans PNR",NA,0,12
1531703,"publis - communales","dans PNR","très facile",0,5
1119252,"privé - sans psg","hors PNR","difficile",0,17
640611,"privé - sans psg","hors PNR","facile",0,9
2028999,"privé - psg","dans PNR","facile",0,8
583138,"privé - sans psg","hors PNR","difficile",0,26
332524,"privé - sans psg","hors PNR","très facile",0,13
1603646,"publis - communales","hors PNR","facile",0,13
1019630,"publis - communales","hors PNR","difficile",0,12
1229021,"publics - domaniales","hors PNR","facile",0,18
1517347,"publics - domaniales","hors PNR","difficile",0,8
618966,"publics - domaniales","hors PNR","facile",0,10
318116,"publics - domaniales","dans PNR","facile",0,9
741091,"publis - communales","dans PNR","difficile",0,13
1510745,"publics - domaniales","hors PNR","très facile",0,11
1916495,"publics - domaniales","hors PNR","facile",0,24
428421,"publis - communales","hors PNR","difficile",0,5
2032247,"publics - domaniales","dans PNR","difficile",0,18
2021081,"privé - sans psg","dans PNR","difficile",0,17
1708571,"privé - sans psg","dans PNR","difficile",0,18
770428,"publis - communales","dans PNR","difficile",0,8
263943,"publics - domaniales","hors PNR",NA,0,5
1731481,"publis - communales","dans PNR","difficile",0,10
864263,"publis - communales","hors PNR","difficile",0,17
1124512,"privé - sans psg","dans PNR","difficile",0,14
1541681,"privé - psg","hors PNR","difficile",0,13
305055,"publics - domaniales","hors PNR","difficile",0,9
1217321,"privé - sans psg","dans PNR","facile",0,18
1722202,"publics - domaniales","hors PNR","facile",0,5
1630461,"privé - sans psg","dans PNR","difficile",0,9
140603,"privé - sans psg","dans PNR",NA,0,12
221309,"privé - psg","dans PNR",NA,0,8
1538302,"privé - sans psg","dans PNR","très facile",0,11
1629253,"publis - communales","dans PNR","difficile",0,13
1224854,"publis - communales","dans PNR","facile",0,16
1031151,"publics - domaniales","hors PNR","moyenne",0,12
1210228,"publics - domaniales","hors PNR","difficile",0,14
740622,"publis - communales","hors PNR","très facile",0,9
1308833,"privé - psg","hors PNR","moyenne",0,14
2050122,"publics - domaniales","hors PNR","difficile",0,15
50790,"publics - domaniales","dans PNR",NA,0,8
442848,"publis - communales","dans PNR","difficile",0,20
617409,"publis - communales","dans PNR","très facile",0,10
1400047,"publics - domaniales","dans PNR","très facile",0,10
676297,"publics - domaniales","hors PNR","très facile",0,4
1816710,"publis - communales","dans PNR","facile",0,21
844138,"publis - communales","dans PNR","difficile",0,12
1951466,"publics - domaniales","hors PNR","facile",0,20
274621,"publis - communales","dans PNR",NA,0,17
1222022,"publics - domaniales","dans PNR","difficile",0,19
639420,"publics - domaniales","dans PNR","très facile",0,11
1613685,"publis - communales","hors PNR","difficile",0,11
1340763,"publis - communales","dans PNR","difficile",0,15
1211439,"publics - domaniales","hors PNR","moyenne",0,13
1713573,"publis - communales","hors PNR","difficile",0,22
1846675,"publis - communales","hors PNR","difficile",0,27
618872,"privé - sans psg","hors PNR","difficile",0,23
1940819,"publics - domaniales","dans PNR","difficile",0,14
714754,"publics - domaniales","dans PNR","très facile",0,29
1830788,"publis - communales","dans PNR","moyenne",0,14
133605,"publics - domaniales","dans PNR",NA,0,19
927045,"privé - sans psg","dans PNR","facile",0,6
2040314,"publics - domaniales","hors PNR","moyenne",0,18
908315,"privé - sans psg","dans PNR","très facile",0,19
1852120,"publis - communales","hors PNR","très facile",0,27
325229,"publis - communales","dans PNR","difficile",0,10
1616980,"publis - communales","dans PNR","facile",0,12
1421515,"privé - sans psg","dans PNR","très facile",0,4
960176,"publics - domaniales","dans PNR","très facile",0,19
1644692,"privé - sans psg","hors PNR","très facile",0,7
1204457,"publis - communales","hors PNR","difficile",0,19
1941581,"publis - communales","dans PNR","difficile",0,30
1850490,"publics - domaniales","hors PNR","difficile",0,20
828424,"privé - sans psg","dans PNR","très facile",0,31
1918534,"publics - domaniales","dans PNR","difficile",0,23
1729404,"privé - sans psg","hors PNR","facile",0,13
1706048,"publis - communales","dans PNR","très facile",0,19
1338358,"privé - sans psg","hors PNR","très facile",0,4
1946407,"publics - domaniales","dans PNR","difficile",0,17
2037334,"privé - psg","dans PNR","très facile",0,6
746142,"publis - communales","dans PNR","difficile",0,15
932543,"publis - communales","dans PNR","difficile",0,19
533323,"publics - domaniales","hors PNR","facile",0,3
1214862,"publics - domaniales","hors PNR","moyenne",0,19
1633415,"publics - domaniales","hors PNR","difficile",0,19
1614236,"privé - sans psg","hors PNR","très facile",0,9
928996,"publis - communales","dans PNR","difficile",0,17
3930,"privé - sans psg","hors PNR",NA,0,10
1313199,"privé - psg","hors PNR","difficile",0,14
669886,"publis - communales","dans PNR","difficile",0,17
129304,"privé - sans psg","dans PNR",NA,0,10
380621,"privé - sans psg","hors PNR","facile",0,5
1807894,"publis - communales","dans PNR","difficile",0,13
977507,"publics - domaniales","dans PNR","difficile",0,11
1814206,"publics - domaniales","dans PNR","difficile",0,23
1312660,"privé - psg","dans PNR","difficile",0,10
662223,"privé - psg","dans PNR","moyenne",0,27
32226,"privé - sans psg","dans PNR",NA,0,8
1324464,"privé - sans psg","dans PNR","difficile",0,11
16571,"privé - psg","hors PNR",NA,0,13
101623,"publics - domaniales","dans PNR",NA,0,12
749736,"publis - communales","dans PNR","difficile",0,13
1437305,"publis - communales","dans PNR","difficile",0,14
125937,"privé - sans psg","dans PNR",NA,0,17
1602295,"privé - sans psg","hors PNR","très facile",0,1
1641054,"publis - communales","hors PNR","moyenne",0,19
1020033,"publis - communales","dans PNR","difficile",0,19
924014,"publis - communales","hors PNR","moyenne",0,26
1021355,"publics - domaniales","dans PNR","très facile",0,13
1208212,"publis - communales","dans PNR","difficile",0,21
600946,"privé - sans psg","dans PNR","difficile",0,26
1104176,"publis - communales","dans PNR","très facile",0,8
722820,"publis - communales","dans PNR","facile",0,9
1230702,"publics - domaniales","dans PNR","difficile",0,11
451453,"privé - sans psg","hors PNR","facile",0,18
22485,"privé - sans psg","dans PNR",NA,0,15
1312187,"privé - sans psg","dans PNR","moyenne",0,1
54200,"publics - domaniales","dans PNR",NA,0,9
541617,"privé - psg","hors PNR","difficile",0,23
1345332,"publis - communales","dans PNR","difficile",0,24
1013683,"publics - domaniales","dans PNR","très facile",0,19
837801,"publis - communales","dans PNR","très facile",0,8
974406,"privé - sans psg","dans PNR","très facile",0,2
1609175,"publis - communales","dans PNR","difficile",0,13
1919499,"publis - communales","dans PNR","facile",0,13
1516211,"publics - domaniales","dans PNR","très facile",0,22
1913022,"publis - communales","dans PNR","difficile",0,12
1721267,"publis - communales","dans PNR","facile",0,15
1615512,"publis - communales","dans PNR","difficile",0,15
1708359,"publis - communales","dans PNR","facile",0,11
1335837,"publis - communales","hors PNR","difficile",0,16
1340170,"publis - communales","hors PNR","difficile",0,2
1608271,"privé - sans psg","dans PNR","très facile",0,14
1628507,"privé - sans psg","dans PNR","moyenne",0,5
1010811,"publis - communales","hors PNR","difficile",0,9
439749,"privé - psg","dans PNR","difficile",0,8
1303538,"publis - communales","hors PNR","difficile",0,20
2050136,"publis - communales","dans PNR","difficile",0,23
866233,"publis - communales","dans PNR","moyenne",0,5
974196,"publics - domaniales","dans PNR","moyenne",0,20
930019,"publics - domaniales","dans PNR","très facile",0,9
1331181,"publics - domaniales","dans PNR","difficile",0,16
1852481,"privé - sans psg","dans PNR","difficile",0,18
772014,"privé - sans psg","dans PNR","facile",0,30
132902,"privé - sans psg","hors PNR",NA,0,12
1121945,"privé - sans psg","dans PNR","facile",0,21
835918,"privé - psg","dans PNR","très facile",0,20
216932,"publics - domaniales","dans PNR",NA,0,12
2014113,"publics - domaniales","dans PNR","très facile",0,9
876036,"privé - sans psg","dans PNR","difficile",0,19
1231349,"publics - domaniales","hors PNR","difficile",0,25
1005440,"privé - sans psg","dans PNR","facile",0,14
379093,"publics - domaniales","dans PNR","très facile",0,14
464644,"publis - communales","dans PNR","difficile",0,27
731708,"publics - domaniales","dans PNR","difficile",0,16
1225220,"privé - sans psg","dans PNR","très facile",0,18
600657,"publis - communales","hors PNR","difficile",0,7
48812,"publis - communales","dans PNR",NA,0,17
2006846,"publis - communales","dans PNR","très facile",0,22
1937302,"privé - psg","hors PNR","difficile",0,31
369721,"publis - communales","hors PNR","très facile",0,15
1720335,"publis - communales","hors PNR","facile",0,13
1536859,"publics - domaniales","hors PNR","facile",0,20
955592,"publis - communales","dans PNR","difficile",0,1
2056,"privé - sans psg","dans PNR",NA,0,15
248624,"privé - sans psg","dans PNR",NA,0,15
1216805,"publics - domaniales","hors PNR","difficile",0,12
1019435,"publics - domaniales","hors PNR","moyenne",0,8
1911069,"publis - communales","hors PNR","difficile",0,15
936503,"privé - psg","hors PNR","difficile",0,10
1607921,"publics - domaniales","hors PNR","facile",0,11
1621184,"privé - sans psg","hors PNR","facile",0,1
1610951,"publics - domaniales","hors PNR","difficile",0,5
1123517,"publis - communales","dans PNR","difficile",0,20
1602732,"publics - domaniales","dans PNR","difficile",0,18
444729,"publics - domaniales","dans PNR","difficile",0,9
1947347,"publis - communales","hors PNR","difficile",0,13
1434119,"publics - domaniales","dans PNR","difficile",0,12
1944142,"publis - communales","dans PNR","difficile",0,26
1903745,"privé - sans psg","dans PNR","difficile",0,10
131420,"publics - domaniales","dans PNR",NA,0,6
344889,"publics - domaniales","hors PNR","très facile",0,3
1915711,"privé - sans psg","hors PNR","facile",0,15
547276,"publis - communales","dans PNR","difficile",0,24
320826,"publics - domaniales","hors PNR","difficile",0,8
1823515,"publics - domaniales","hors PNR","facile",0,16
1309322,"privé - psg","hors PNR","très facile",0,4
2796,"publis - communales","dans PNR",NA,0,12
1618637,"publis - communales","dans PNR","difficile",0,23
1942959,"publics - domaniales","dans PNR","difficile",0,25
1511525,"publics - domaniales","dans PNR","facile",0,9
1448800,"publis - communales","hors PNR","difficile",0,5
469542,"privé - sans psg","dans PNR","très facile",0,1
132596,"privé - sans psg","dans PNR",NA,0,3
1736076,"privé - psg","hors PNR","très facile",0,10
1333546,"publis - communales","dans PNR","difficile",0,14
1007684,"publis - communales","dans PNR","difficile",0,12
1026797,"publis - communales","hors PNR","moyenne",0,9
1437785,"publis - communales","dans PNR","difficile",0,24
632429,"privé - psg","dans PNR","très facile",0,13
1207725,"publics - domaniales","hors PNR","difficile",0,19
100305,"privé - sans psg","dans PNR",NA,0,10
1310234,"publics - domaniales","dans PNR","très facile",0,6
1125271,"privé - sans psg","dans PNR","moyenne",0,24
1116861,"publis - communales","dans PNR","difficile",0,5
379677,"publics - domaniales","dans PNR","très facile",0,7
1851598,"publics - domaniales","hors PNR","facile",0,36
1816318,"publis - communales","dans PNR","difficile",0,10
1438717,"publis - communales","dans PNR","très facile",0,17
1726647,"publis - communales","hors PNR","facile",0,6
1438924,"publics - domaniales","dans PNR","très facile",0,8
1231007,"publis - communales","hors PNR","difficile",0,10
248974,"publis - communales","dans PNR",NA,0,8
268361,"publics - domaniales","dans PNR",NA,0,14
128593,"privé - sans psg","dans PNR",NA,0,18
270286,"publis - communales","hors PNR",NA,0,15
2009733,"publics - domaniales","dans PNR","facile",0,25
2002022,"publis - communales","hors PNR","difficile",0,6
260960,"publics - domaniales","dans PNR",NA,0,11
630197,"privé - sans psg","dans PNR","difficile",0,16
1532260,"publis - communales","dans PNR","difficile",0,6
1115537,"privé - sans psg","hors PNR","difficile",0,22
1839415,"publis - communales","dans PNR","difficile",0,8
1005809,"privé - sans psg","hors PNR","moyenne",0,14
1317210,"publics - domaniales","hors PNR","facile",0,5
130105,"publis - communales","hors PNR",NA,0,6
805155,"publis - communales","dans PNR","difficile",0,12
667403,"publis - communales","dans PNR","difficile",0,20
1119344,"privé - psg","hors PNR","difficile",0,4
1009246,"privé - sans psg","dans PNR","difficile",0,27
762219,"publis - communales","dans PNR","très facile",0,28
814953,"publics - domaniales","hors PNR","très facile",0,14
779500,"publis - communales","hors PNR","facile",0,32
1130074,"publis - communales","dans PNR","facile",0,9
1221078,"publis - communales","hors PNR","très facile",0,21
1012188,"publics - domaniales","hors PNR","difficile",0,2
27374,"publics - domaniales","dans PNR",NA,0,8
1907121,"publis - communales","dans PNR","difficile",0,12
209235,"privé - sans psg","dans PNR",NA,0,6
664917,"privé - sans psg","hors PNR","difficile",0,11
1751905,"publics - domaniales","hors PNR","moyenne",0,9
2053392,"publis - communales","dans PNR","difficile",0,13
1646322,"publis - communales","hors PNR","difficile",0,19
837865,"privé - psg","dans PNR","difficile",0,9
959164,"publis - communales","dans PNR","moyenne",0,12
547020,"publis - communales","dans PNR","facile",0,3
1319677,"publics - domaniales","hors PNR","difficile",0,13
1325498,"publis - communales","hors PNR","difficile",0,26
1208850,"publis - communales","hors PNR","très facile",0,10
1802069,"privé - sans psg","hors PNR","moyenne",0,26
2046167,"publics - domaniales","dans PNR","difficile",0,8
738031,"publics - domaniales","dans PNR","très facile",0,5
1522197,"publis - communales","dans PNR","difficile",0,14
2017513,"publis - communales","dans PNR","difficile",0,13
2006013,"publics - domaniales","dans PNR","très facile",0,25
502383,"publics - domaniales","hors PNR","difficile",0,10
1310477,"publics - domaniales","dans PNR","difficile",0,19
652735,"publics - domaniales","dans PNR","très facile",0,11
731856,"publis - communales","dans PNR","difficile",0,8
608773,"privé - sans psg","dans PNR","moyenne",0,7
1103128,"publics - domaniales","hors PNR","moyenne",0,9
1221604,"publis - communales","dans PNR","difficile",0,16
1333889,"publis - communales","dans PNR","difficile",0,20
2039169,"publics - domaniales","hors PNR","difficile",0,8
626748,"publics - domaniales","dans PNR","très facile",0,2
780174,"publis - communales","dans PNR","difficile",0,14
1106850,"publics - domaniales","dans PNR","facile",0,23
664477,"publics - domaniales","hors PNR","difficile",0,20
1417756,"privé - sans psg","dans PNR","difficile",0,8
548510,"publis - communales","dans PNR","difficile",0,23
1708529,"publis - communales","hors PNR","difficile",0,19
1540788,"privé - sans psg","hors PNR","difficile",0,5
1633913,"publics - domaniales","dans PNR","difficile",0,30
1006087,"publis - communales","hors PNR","facile",0,15
1842986,"privé - sans psg","dans PNR","difficile",0,9
806645,"privé - psg","dans PNR","difficile",0,9
1415865,"publics - domaniales","dans PNR","difficile",0,2
954348,"privé - psg","dans PNR","moyenne",0,12
1927188,"publis - communales","hors PNR","difficile",0,16
257367,"privé - psg","dans PNR",NA,0,21
1016616,"publics - domaniales","dans PNR","difficile",0,20
1005736,"publics - domaniales","hors PNR","facile",0,17
1725634,"publis - communales","hors PNR","très facile",0,15
813179,"privé - psg","dans PNR","facile",0,4
2005858,"publis - communales","dans PNR","difficile",0,18
1414869,"publis - communales","hors PNR","difficile",0,35
1621088,"publics - domaniales","hors PNR","difficile",0,21
1015187,"publis - communales","dans PNR","très facile",0,7
2010899,"publis - communales","dans PNR","très facile",0,12
1225671,"publis - communales","dans PNR","difficile",0,26
2031988,"publis - communales","hors PNR","difficile",0,13
138012,"publics - domaniales","dans PNR",NA,0,14
1913425,"publis - communales","hors PNR","facile",0,15
1736085,"privé - psg","dans PNR","difficile",0,19
449341,"privé - sans psg","dans PNR","difficile",0,7
1109378,"publics - domaniales","dans PNR","facile",0,7
1304228,"publis - communales","hors PNR","facile",0,12
1549122,"publics - domaniales","hors PNR","très facile",0,30
1022330,"publis - communales","hors PNR","difficile",0,14
6100,"privé - sans psg","hors PNR",NA,0,6
201790,"publis - communales","hors PNR",NA,0,3
1909613,"publics - domaniales","hors PNR","difficile",0,22
2036360,"publis - communales","hors PNR","facile",0,6
416111,"privé - sans psg","hors PNR","difficile",0,20
1620671,"publics - domaniales","dans PNR","très facile",0,4
737833,"privé - sans psg","hors PNR","difficile",0,1
1519320,"publis - communales","hors PNR","difficile",0,17
508277,"privé - psg","dans PNR","difficile",0,16
1013888,"privé - sans psg","dans PNR","difficile",0,16
1935467,"publics - domaniales","dans PNR","très facile",0,10
309277,"publis - communales","hors PNR","difficile",0,8
2052079,"publis - communales","dans PNR","difficile",0,16
757655,"publis - communales","dans PNR","difficile",0,24
1409986,"privé - sans psg","hors PNR","facile",0,10
1020216,"publics - domaniales","dans PNR","difficile",0,22
1818110,"publis - communales","hors PNR","difficile",0,13
1442092,"privé - psg","hors PNR","facile",0,13
1128281,"publics - domaniales","dans PNR","difficile",0,11
1617378,"publis - communales","dans PNR","moyenne",0,18
1218815,"publics - domaniales","hors PNR","difficile",0,14
2019994,"privé - sans psg","hors PNR","difficile",0,20
608170,"privé - sans psg","dans PNR","facile",0,2
1740122,"publis - communales","hors PNR","difficile",0,9
1113238,"publics - domaniales","hors PNR","moyenne",0,22
1644334,"publics - domaniales","hors PNR","facile",0,20
1739305,"publics - domaniales","dans PNR","facile",0,20
1637726,"publis - communales","hors PNR","facile",0,5
1350909,"publics - domaniales","dans PNR","très facile",0,6
372554,"publics - domaniales","hors PNR","très facile",0,1
555353,"privé - sans psg","dans PNR","très facile",0,3
205089,"publics - domaniales","hors PNR",NA,0,15
259581,"privé - sans psg","dans PNR",NA,0,8
1635971,"privé - sans psg","dans PNR","difficile",0,19
945843,"publics - domaniales","hors PNR","difficile",0,17
1531254,"publics - domaniales","hors PNR","facile",0,8
1805546,"publis - communales","dans PNR","difficile",0,1
780158,"publis - communales","hors PNR","très facile",0,7
931710,"privé - sans psg","dans PNR","facile",0,26
1630247,"privé - sans psg","dans PNR","moyenne",0,7
511327,"publis - communales","hors PNR","facile",0,16
617158,"publis - communales","dans PNR","difficile",0,8
2028264,"privé - sans psg","hors PNR","facile",0,5
1550274,"privé - sans psg","dans PNR","moyenne",0,2
120882,"publics - domaniales","dans PNR",NA,0,11
1751138,"publics - domaniales","dans PNR","difficile",0,9
764198,"publis - communales","hors PNR","très facile",0,8
1001505,"privé - sans psg","dans PNR","difficile",0,10
664710,"privé - psg","hors PNR","difficile",0,6
1002766,"privé - psg","dans PNR","difficile",0,10
203285,"publis - communales","hors PNR",NA,0,17
50887,"privé - psg","hors PNR",NA,0,9
1223176,"publics - domaniales","hors PNR","difficile",0,10
1024144,"publis - communales","dans PNR","difficile",0,10
1754586,"publics - domaniales","dans PNR","facile",0,13
48962,"publis - communales","hors PNR",NA,0,1
1711817,"privé - sans psg","dans PNR","facile",0,3
150530,"publis - communales","hors PNR",NA,0,13
673049,"privé - sans psg","dans PNR","très facile",0,20
711750,"privé - sans psg","dans PNR","difficile",0,8
2031206,"publis - communales","dans PNR","difficile",0,14
1632921,"publics - domaniales","hors PNR","difficile",0,11
