"idp","biomass","troph_r"
729317,423.393296004305,3.84374
758280,112.838398265349,2.95443
772844,76.9919953542283,2.15281
761676,47.9865943220848,1.03467
722455,218.335126237903,2.35393
738018,189.81801929967,2.91934
777046,533.776914694495,1.667
714754,145.995438134189,3.33445
703094,83.8316877181301,1.60237
764732,24.2443020019308,5.52044
770652,126.842526084992,1.26861
747924,247.873787237943,1.66048
731708,221.812240921185,0.838792
754967,263.574939600417,0.980626
731032,151.636306330549,1.40642
759013,211.810121058094,1.32327
777059,306.84320130635,1.6054
742296,279.743994658316,0.812583
734865,246.514269606111,1.6314
756109,349.611766299558,2.22661
760259,465.222175571765,2.54494
734838,104.318319333699,3.56917
757003,123.483245823257,5.67193
755526,366.632656270792,1.94693
705882,169.044475574311,2.21823
778296,167.039346114458,2.57336
737833,0.802604898865088,4.5161
742919,23.2478419437127,1.16563
751464,456.86573057606,6.69148
738331,167.768258724554,3.10399
758636,192.936628531999,6.5
857623,281.950227160493,2.10989
805726,277.332755751392,2.16226
851436,204.405816102618,5.55438
871946,38.7990235717666,2.7064
877940,241.529040862073,1.95579
878954,59.2999302023063,1.85754
844965,284.387791616653,1.54959
838231,158.021965990799,4.66197
877295,64.319775969797,4.26857
874348,106.392772885654,0.868471
872525,325.81155176357,0.846669
845064,227.750465992135,1.41418
828967,269.303489822069,1.15034
825309,31.9087544770766,1.65847
848166,263.82248729427,1.33142
873921,301.858198542905,1.25512
815411,272.158449747581,0.935053
858344,139.420915726878,1.27247
824435,31.4010260253162,2.64329
877474,264.919748432977,1.03698
856970,95.0398691231411,1.84829
871077,258.827773549064,3.08521
864332,326.944515317969,1.37588
824177,319.990725232985,2.0372
843064,172.744247656272,2.6451
847052,160.606073376461,7.203
861686,171.56045307334,2.01947
851390,233.436964193159,1.94503
836673,251.369519019937,3.20084
850719,260.261288110454,2.83123
858463,36.9677622686816,2.33979
832958,801.419675351899,4.95366
838161,323.218884911354,5.01
913856,522.090477024501,2.06254
924213,75.8172022423549,3.24868
926638,72.7228417255341,4.80969
922281,427.078584396231,1.87357
929537,240.174296688638,3.6326
925337,376.607064793867,3.72102
977387,169.627486278952,2.51049
925563,286.708333304697,1.38993
924751,33.3926492502558,1.20235
958021,224.396830303717,0.935993
915670,242.859312417229,1.36063
915083,609.701496804722,2.96193
939436,282.162408304465,2.03735
938842,399.652696684078,0.486731
945843,221.548943417306,1.41831
930019,156.887153226897,1.63591
944620,124.167612558799,1.60106
961868,367.430358138112,1.6054
960176,521.583388007247,0.877967
977507,207.092777748257,1.16358
953427,244.868218405004,1.83877
920543,216.951334397851,5.4143
938865,516.687533774485,2.81874
979760,504.937043463301,2.9254
928073,362.34227055785,2.68446
955592,12.5037404870575,2.56776
932543,428.022090818259,1.6041
927673,205.183165449125,3.61008
928996,218.368461806481,1.89331
948295,178.299126329058,2.53579
948395,364.097917786396,0.646285
934707,427.502297686796,2.66712
972654,451.12269992502,4.05778
954925,465.109480261802,3.47386
936260,236.013380766354,1.8814
973602,217.461023322733,3.67812
959164,253.617498415457,2.96832
980990,333.789730642383,4.41652
962680,200.533969574407,2.47172
914610,14.0282179104665,2.60364
907223,264.928602084392,3.97169
932635,63.3836375870537,5.97137
974367,151.287050978461,4.50207
965224,93.0357073881306,2.42393
932122,215.08217477539,3.14691
918846,133.678591280272,3.5808
927412,367.510702653684,3.04139
970631,427.032096693615,2.58819
1022984,177.960458646607,3.16754
1020067,114.333023108739,3.14504
1020903,312.483727690895,2.92065
1006684,62.2869027354331,3.53234
1022330,143.059927039465,4.04447
1018216,171.257278281773,2.48627
1015316,211.0495163611,2.19399
1012467,278.034769855596,4.61325
1021618,327.818224057944,1.57149
1027293,233.916456430763,0.647863
1023074,101.39519144153,1.25134
1010811,248.26231170132,1.61717
1012863,311.480537085518,1.81684
1019327,285.394689466742,1.17416
1017940,169.484084170879,1.80928
1003660,167.546991487777,1.50588
1005131,182.007976538595,0.813091
1031072,227.07810804157,6.10833
1024154,291.999182311726,1.00137
1014172,37.3037967235824,0.708908
1013272,334.276490461662,2.24932
1018745,301.493030972586,1.71522
1013821,357.726746108987,1.48827
