"idp","pro_psg","ser_86","biom"
1002988,"privé - sans psg","B91",298.960080797178
1012629,"publics - domaniales","B91",106.545249378432
1007220,"publics - domaniales","B91",177.145983374591
1021145,"privé - psg","B91",251.626011282339
1015610,"publics - domaniales","B91",706.46095960539
1022631,"publis - communales","G12",188.045598742774
1001569,"publics - domaniales","B91",158.706758557996
1004576,"privé - psg","B91",283.0585135315
1007551,"publics - domaniales","B91",379.614250421395
1003297,"privé - sans psg","G12",262.699647146869
1012183,"privé - sans psg","G12",271.54705336062
1008110,"privé - psg","B91",220.82915411151
1026168,"privé - sans psg","B91",368.129690953932
1010552,"privé - psg","G12",23.2566250673509
1002143,"privé - sans psg","B91",219.527630285298
1026670,"publics - domaniales","B91",230.010734869212
1009747,"privé - sans psg","G12",193.882458887421
1005241,"privé - sans psg","B91",338.47316133026
1002181,"publics - domaniales","B91",470.92707655319
1018876,"privé - sans psg","G12",119.855273630444
1009701,"publics - domaniales","G12",110.015866329403
1009449,"privé - psg","G12",226.386096269195
1003205,"privé - psg","G12",309.415827545692
1028189,"publics - domaniales","G12",150.86978007779
1002502,"privé - psg","B92",150.358214895872
1003137,"publics - domaniales","G90",196.759846638395
1003060,"privé - sans psg","G12",242.589301188115
1012897,"privé - sans psg","G90",7.37601190880089
1012442,"privé - sans psg","G13",136.85121573056
1002113,"privé - psg","B92",316.657549876595
1016787,"privé - sans psg","G90",307.004905441936
1021036,"privé - sans psg","G90",22.6078037185727
1008658,"privé - sans psg","G13",397.945413847349
1016058,"privé - psg","B92",47.4894867420507
1003508,"privé - psg","B92",234.59329671891
1016553,"privé - psg","B92",377.727556620071
1027594,"privé - sans psg","B92",288.721667442958
1026833,"privé - psg","G90",291.015474458263
1004128,"privé - psg","B92",198.320452064821
1023257,"privé - psg","G22",87.6294381431426
1027033,"privé - psg","B92",175.687486851033
1020678,"privé - sans psg","G90",247.370986741344
1012059,"privé - sans psg","G22",195.799007035131
1011029,"privé - sans psg","G22",255.74133912027
1000429,"privé - sans psg","G22",223.197113853516
1028457,"privé - psg","G22",129.897730024384
1019047,"privé - sans psg","G22",55.4660797264983
1014386,"privé - sans psg","G22",329.368110104281
1012699,"publics - domaniales","G22",74.4797677131243
1003964,"privé - sans psg","H30",70.2669632610904
1021831,"privé - sans psg","J40",115.201466527578
1025165,"privé - sans psg","J40",66.5388300788223
1001043,"publis - communales","H30",37.6679589887458
1027362,"privé - sans psg","J40",32.1849862838268
1025476,"privé - sans psg","H30",236.100839402507
1010951,"publics - domaniales","H30",186.3910396727
1002473,"publis - communales","H30",156.531763098495
1023199,"privé - sans psg","J40",62.3043406452749
1024831,"privé - psg","J40",112.664739056678
1005419,"publics - domaniales","H30",195.73315265533
1024912,"privé - sans psg","J40",148.034615747516
1024816,"publis - communales","H30",80.6791221131368
1028281,"privé - sans psg","H30",57.9121567038214
1022411,"publis - communales","H30",57.1838568721495
1014083,"privé - psg","H30",123.216353082389
1001767,"privé - sans psg","H30",26.6664932061669
1015743,"publis - communales","H30",14.877193726363
1001024,"privé - psg","J40",78.3159060803709
1024824,"privé - psg","J23",134.742083908611
1031208,"publis - communales","H30",15.4580744105913
1019662,"privé - sans psg","H30",15.2287128707649
1024186,"privé - sans psg","H30",1.29364088178292
1029323,"privé - sans psg","J23",206.443160247653
1020314,"privé - sans psg","J23",134.095798607011
1009875,"privé - sans psg","H30",40.007058815924
1010829,"privé - psg","H30",34.3897357045104
1020356,"publics - domaniales","H30",77.80802596092
1028011,"privé - sans psg","H30",143.04833741935
1030569,"privé - sans psg","J23",0.779983491946842
1008922,"privé - sans psg","J23",91.2675848619171
1023995,"privé - psg","H41",20.3476562932527
1016368,"publis - communales","H41",97.1775443728205
1002495,"privé - sans psg","H30",93.0135457992217
1015569,"publis - communales","H41",83.8224940994297
1017539,"privé - sans psg","H41",103.307503467735
1019290,"publis - communales","H41",118.176786411845
1007085,"privé - sans psg","H30",126.981566491393
1028103,"publis - communales","H30",89.4012332268345
1030614,"privé - sans psg","H30",96.0959516977822
1014365,"publis - communales","H41",61.138475291281
1010876,"privé - sans psg","H30",46.6094175297741
1006976,"privé - sans psg","H30",87.7251035488721
1021393,"privé - sans psg","H41",5.41252718558047
1001382,"privé - sans psg","H41",149.011174760092
1027643,"publics - domaniales","H30",120.709438294987
1016714,"publics - domaniales","H30",49.0683298207919
1024229,"publis - communales","H30",41.1780460370758
1017334,"publics - domaniales","J23",162.161376541099
1012306,"privé - sans psg","J23",50.5525662384313
1017137,"privé - sans psg","H42",95.5917624184188
1002598,"privé - sans psg","H41",64.3597812880952
1004204,"privé - sans psg","H30",104.479097924129
1003259,"privé - sans psg","H30",4.23274992754347
1031238,"privé - sans psg","H30",215.861482434138
1014554,"privé - sans psg","H30",71.1195603877173
1017264,"publics - domaniales","H30",166.017716233112
1013867,"privé - sans psg","H42",142.651943946435
1007773,"privé - sans psg","H30",49.5867850196798
1000132,"publics - domaniales","H42",23.9494942876853
1000057,"privé - sans psg","H30",150.320105239677
1000523,"privé - sans psg","H30",145.035061280892
1005224,"publics - domaniales","H42",395.611787888782
1012114,"publis - communales","H42",73.0016422185857
1006478,"privé - sans psg","H42",77.3752074627388
1009355,"publics - domaniales","H41",458.739431716486
1010564,"privé - sans psg","H41",70.5249516494768
1021900,"privé - psg","H30",68.7007712195078
1011858,"publics - domaniales","H30",30.2667344660683
1007668,"privé - sans psg","H30",132.795633546042
1018517,"publis - communales","H42",168.528415602579
1021389,"privé - sans psg","H42",84.0921019000254
1008699,"publics - domaniales","H41",117.719929642447
1018967,"publis - communales","H41",284.116494402864
1009214,"privé - psg","H30",127.908632886318
1009532,"publics - domaniales","H30",215.807823401238
1001287,"publics - domaniales","H30",228.413207811848
1004036,"privé - sans psg","H30",118.145127463674
1018849,"privé - psg","H30",273.295804889017
1030474,"privé - sans psg","H30",100.538731324864
1028566,"privé - sans psg","H30",1.79972428921035
1015169,"privé - sans psg","H30",89.583171934248
1009977,"privé - sans psg","H30",91.5106793983222
1000351,"privé - sans psg","H30",74.9677338983025
1021741,"privé - sans psg","H30",185.964499079028
1020160,"privé - sans psg","H30",113.985852752791
1009884,"privé - sans psg","H30",121.402627333028
1000876,"privé - sans psg","H30",11.5351722090422
1020361,"privé - sans psg","H30",301.256393460505
1024188,"publis - communales","H30",234.000930033846
1004346,"publis - communales","H30",170.928678633965
1018634,"privé - sans psg","H30",181.827990726362
1005965,"privé - sans psg","H30",58.6666821258957
1000736,"privé - sans psg","H30",71.117513337258
1017830,"privé - sans psg","H41",81.4224720309987
1018986,"publis - communales","H30",54.5363640406827
1007883,"publis - communales","H30",117.805169496386
1027414,"publis - communales","H30",54.948604354073
1017502,"privé - sans psg","H30",39.7152824642324
1022586,"privé - sans psg","H30",138.557760811063
1004472,"publics - domaniales","H30",42.2602210617429
1002991,"publis - communales","H41",126.698025527113
1019499,"privé - sans psg","H41",68.7094809869303
1013402,"privé - sans psg","H30",95.1724535918332
1022153,"privé - psg","H30",148.128372025344
1029754,"privé - sans psg","H30",5.42294934842123
1004461,"privé - sans psg","H30",195.266596101864
1020633,"publis - communales","H30",84.430212026291
1001362,"publis - communales","H30",188.832928215364
1005807,"publis - communales","H30",297.674250680759
1021957,"publis - communales","H42",131.356370104275
1009249,"privé - sans psg","H41",2.1345312052865
1009887,"publis - communales","H30",372.602096876123
1025612,"publics - domaniales","H30",15.2200765913796
1016369,"publis - communales","H30",107.37102607206
1008728,"privé - sans psg","H30",66.0605179898989
1025441,"privé - sans psg","H30",64.6103261926462
1018081,"publis - communales","H42",79.602697383081
1000385,"publics - domaniales","H41",190.770735280965
1011864,"publics - domaniales","H41",283.34890057054
1028811,"privé - sans psg","H30",181.056712133427
1026368,"publics - domaniales","H41",277.298570754091
1028219,"privé - sans psg","H30",63.3000670523656
1003235,"publis - communales","H41",151.231382759535
1006966,"privé - sans psg","H30",263.618618234822
1026578,"privé - sans psg","H42",80.2081775886708
1031087,"publics - domaniales","H41",263.369622357698
1004592,"publis - communales","H42",202.975989481516
1011982,"publis - communales","H42",250.130196870626
1011049,"publis - communales","H42",64.334988383743
1005475,"privé - sans psg","H42",65.422082267341
1030123,"privé - sans psg","H42",48.7995879991667
1009593,"publis - communales","H42",249.877095940305
1006239,"privé - sans psg","H42",111.793293663341
1018831,"publis - communales","H42",194.750138500834
1022614,"publis - communales","H42",14.768908843088
1024083,"privé - sans psg","H42",52.619853454753
1021700,"privé - sans psg","H42",206.805912992988
1000809,"publis - communales","H42",300.051676546628
1028797,"publis - communales","H42",124.692201085749
1020088,"publis - communales","H42",237.243286511183
1009903,"publis - communales","H42",158.127857625235
1007912,"privé - sans psg","H42",13.9718271233522
1004710,"privé - sans psg","H42",151.627706045924
1007622,"publics - domaniales","H42",315.64124597206
1021986,"publis - communales","H42",104.349060429853
1020712,"publics - domaniales","H42",282.186103604764
1016494,"privé - sans psg","H42",89.8660029378796
1005922,"privé - sans psg","H42",150.005027484936
1024745,"privé - psg","H42",37.1954964840182
1003007,"privé - sans psg","H42",7.58065507360968
1031141,"privé - sans psg","H42",95.8800348016256
1007409,"privé - psg","H42",138.100246567401
1022802,"publis - communales","H42",98.9665003480144
1005076,"privé - sans psg","H42",43.4735559608838
1020615,"publis - communales","H42",107.074014015315
1026029,"publis - communales","H41",403.28105335617
1021964,"publis - communales","H41",259.96181915149
1005155,"privé - sans psg","H42",1.65607521788229
1010975,"privé - sans psg","H41",129.903636177469
1018657,"privé - sans psg","H30",234.018683448082
1025496,"publis - communales","H42",97.4725495885569
1001684,"publis - communales","H30",186.728344439677
1005043,"publis - communales","H41",363.006429926583
1007894,"publics - domaniales","H41",201.279836467026
1004872,"privé - sans psg","H30",114.125236267714
1013273,"publics - domaniales","H30",132.720624622721
1005932,"publis - communales","H30",148.318568470399
1016881,"publis - communales","H41",153.579829598128
1023331,"privé - sans psg","H41",62.9410095334427
1011341,"publics - domaniales","H30",143.319666936482
1029960,"privé - sans psg","H30",225.26879853633
1001420,"publis - communales","H30",253.630825425577
1006245,"privé - psg","H30",133.916483060255
1003156,"privé - sans psg","J40",401.594785154097
1007279,"publis - communales","H30",64.0721195190761
1029600,"publics - domaniales","H30",105.241483668776
1030691,"privé - psg","J40",74.3745129069176
1014965,"publis - communales","H42",50.4920069864832
1017343,"privé - sans psg","H41",91.6074345703107
1009617,"privé - sans psg","H30",104.261065907569
1024897,"publis - communales","H42",5.3019038001441
1027370,"publis - communales","H41",325.859129560682
1014338,"publis - communales","H41",31.8502814573258
1022084,"privé - psg","H30",100.474491836398
1003447,"privé - sans psg","J24",86.5648044142279
1003647,"publis - communales","H41",316.254431442762
1001575,"publis - communales","J24",6.22839664380538
1024923,"publis - communales","H41",150.454900840011
1015947,"publis - communales","H41",182.455746050778
1021103,"publis - communales","H41",403.904033623358
1018913,"privé - sans psg","H41",91.8967667877078
1028306,"publis - communales","H41",213.608353298575
1012620,"privé - sans psg","H41",44.1993293014868
1027198,"privé - sans psg","J24",45.3959255623992
1002658,"privé - sans psg","J24",72.6412840131534
1015573,"publis - communales","H41",353.129006442973
1012190,"privé - sans psg","G30",0.907247365705223
1003047,"publis - communales","G22",96.6198397554213
1027155,"privé - sans psg","G22",22.1765900913496
1008235,"privé - sans psg","G30",81.2791491303643
1010358,"privé - sans psg","G30",22.6475636840736
1025956,"privé - sans psg","G22",32.970651838193
1003481,"privé - psg","G22",272.092938613475
1010431,"publis - communales","G22",119.775308433268
1017842,"privé - sans psg","G22",14.1475489598447
1019314,"privé - sans psg","G70",387.779012229046
1000929,"publis - communales","G30",147.765379802886
1027714,"privé - sans psg","G30",54.3099615658371
1010547,"publics - domaniales","G30",272.573305891797
1029150,"privé - sans psg","G30",333.067217729687
1002979,"privé - sans psg","G22",458.158263620411
1009381,"privé - sans psg","G42",195.830077167238
1010558,"privé - sans psg","G30",8.24395001847365
1025918,"publis - communales","G30",293.206790812229
1006517,"privé - sans psg","G42",306.609051133838
1029646,"privé - psg","G42",176.363384914423
1008776,"privé - psg","G42",155.858681976593
1020421,"privé - sans psg","G42",894.841419350307
1019437,"privé - sans psg","G42",229.023783755689
1010948,"privé - sans psg","G30",209.774957957963
1005480,"privé - sans psg","G70",114.167489891816
1000908,"privé - sans psg","G70",43.5627988171826
1007252,"privé - sans psg","G70",87.1123055081386
1000891,"privé - sans psg","G70",297.71806582171
1004305,"privé - sans psg","G70",74.1078008375656
1016272,"privé - sans psg","G70",214.725364672513
1019934,"privé - sans psg","G42",221.967223606152
1009511,"privé - sans psg","G42",195.47298518832
1007191,"privé - sans psg","G42",268.519743085273
1027564,"privé - sans psg","G42",150.799956908832
1014337,"privé - sans psg","G42",82.4460600437174
1014834,"privé - sans psg","G30",809.421814337176
1031009,"privé - sans psg","G42",262.022275808685
1026058,"privé - psg","G42",309.843800886283
1021848,"privé - sans psg","G42",328.980155452169
1018636,"privé - sans psg","G42",282.538255880846
1002423,"privé - sans psg","G42",131.225280983871
1017576,"privé - sans psg","G70",9.02720871640695
1028872,"privé - sans psg","G70",155.051129748186
1006656,"privé - sans psg","G70",499.019829848959
1022154,"privé - sans psg","G70",144.31388077689
1005110,"privé - sans psg","J10",15.6406815618128
1017664,"publis - communales","G70",136.348616098503
1031243,"privé - sans psg","G42",390.341352265825
1026609,"privé - sans psg","G42",46.6015720979978
1016426,"privé - sans psg","G42",166.223957233694
1005234,"privé - sans psg","G42",15.3500405058124
1018619,"privé - sans psg","G42",314.655922604567
1016232,"privé - sans psg","G42",159.683979530764
1010839,"privé - sans psg","G42",314.016301388994
1003290,"privé - sans psg","G42",417.23223412283
1026287,"privé - sans psg","G42",120.584982770653
1024101,"privé - sans psg","G70",94.283738673686
1014556,"privé - sans psg","G70",330.217251981955
1023538,"privé - sans psg","G70",118.219824790065
1026642,"privé - sans psg","J10",133.150419035991
1026329,"privé - sans psg","J10",23.7743873092487
1023024,"privé - sans psg","G42",148.855153418103
1017536,"privé - sans psg","G42",184.303037593869
1012244,"privé - sans psg","G42",134.877404004136
1007034,"privé - sans psg","G42",168.433322073741
1012608,"privé - sans psg","G42",25.1664168564933
1000469,"privé - sans psg","G42",178.408657305258
1027158,"privé - sans psg","G42",170.029272099582
1001109,"privé - sans psg","G70",114.661783595986
