"idp","mqd","biomass","zp","reserutile","troph_r","species","ownership","tmoy_win_mean_anomaly","tmoy_win_min_anomaly","tmoy_win_max_anomaly","tmoy_spr_mean_anomaly","tmoy_spr_min_anomaly","tmoy_spr_max_anomaly","tmoy_sum_mean_anomaly","tmoy_sum_min_anomaly","tmoy_sum_max_anomaly","tmoy_aut_mean_anomaly","tmoy_aut_min_anomaly","tmoy_aut_max_anomaly","spei1-13_mean","spei2-13_mean","spei3-13_mean","spei4-13_mean","spei5-13_mean","spei6-13_mean","spei7-13_mean","spei8-13_mean","spei9-13_mean","spei10-13_mean","spei11-13_mean","spei12-13_mean","spei13-13_mean","spei14-13_mean","spei15-13_mean","spei16-13_mean","spei17-13_mean","spei18-13_mean","spei19-13_mean","spei20-13_mean","spei21-13_mean","spei22-13_mean","spei23-13_mean","spei24-13_mean"
746162,0.344687956945188,348.551784507304,332,89.5,2.98077,"Pin sylvestre","Forêts domaniales RF",0.227941957224675,-1.56327484842309,2.33550731565987,0.200662949283059,-1.79682381804533,1.63766089234617,0.570760431893547,-0.763143896142349,2.19449512718446,0.155901682219578,-1.25813650555544,1.75662468691995,-0.109808596043011,-0.128851065889382,-0.123971734355765,-0.141677933950449,-0.153478579530707,-0.162705022682119,-0.165229024807073,-0.167582332239318,-0.174383807715168,-0.174357613131113,-0.172906958333707,-0.17390036985152,-0.178442605857855,-0.180971505551068,-0.18381419089157,-0.189774197803391,-0.195456138798902,-0.207054489524015,-0.216258699973441,-0.227494383715523,-0.244098953762359,-0.258509218058648,-0.27829604422454,-0.295520839692672
712867,0.213513480389875,238.300772703636,348,62.9999961853027,1.11424,"Sapin pectiné","Autres forêts publiques RF",0.199710079185813,-1.639083942586,2.34815910178581,0.206206056311833,-1.79408771574535,1.66960387529903,0.543068331610849,-0.773791502832693,2.23230498299215,0.153964779141205,-1.29818790225758,1.79175347341984,-0.147084433115428,-0.176454204220486,-0.180205108339306,-0.207887018465295,-0.228631980025378,-0.246186301281071,-0.256278339634505,-0.26648675384656,-0.280853461610085,-0.28729811132805,-0.290792791070334,-0.296624769081232,-0.304373000150916,-0.308936097607372,-0.313812974259814,-0.321352478292218,-0.328301349376005,-0.341048604326893,-0.352029512404495,-0.364640779511321,-0.382771817431544,-0.398668983779317,-0.419456587465881,-0.437493478246734
720620,0.221324890016448,134.874579765623,359,35,4.04955,"Sapin pectiné","Forêts privées et autres - Hors PSG",0.201641206660242,-1.53472961803465,2.31965096945316,0.194487162598011,-1.83055083483986,1.67234535681806,0.546623365663752,-0.784232855351942,2.25121318299207,0.151474962850174,-1.27451332378427,1.80741319308849,-0.306820978978756,-0.393338637179452,-0.441308230805593,-0.505443477431054,-0.551707967342213,-0.590568173836546,-0.622785429963259,-0.652848980512022,-0.683080421533734,-0.701384664442911,-0.714976286776693,-0.729263861097508,-0.741625941896336,-0.751671170728687,-0.759426367744634,-0.770374993374051,-0.781088383865574,-0.795322406498663,-0.808854977248371,-0.823976600855639,-0.84264031684294,-0.85829109223929,-0.875980409489602,-0.890162117895414
770767,0.157464160796435,117.608077396774,374,50.3999977111816,1.18779,"Douglas","Forêts privées et autres - En PSG",0.191664524067436,-1.61042394706419,2.38801436448826,0.200496998152568,-1.82731939966555,1.66109202595163,0.539027041325901,-0.78275705128953,2.22026360663193,0.150814510596264,-1.30114610490546,1.80784018030251,-0.229428475888227,-0.287486170913159,-0.312592112637222,-0.359306743494689,-0.395359797028106,-0.425874472782442,-0.448506195080947,-0.47042736213409,-0.495199963800207,-0.509835822697891,-0.520160152774785,-0.532217139428838,-0.544057325695511,-0.553044409154065,-0.561496395947099,-0.573018958842321,-0.583826207002071,-0.59909032490191,-0.612939608388461,-0.62832723623716,-0.648207017347008,-0.665249863888035,-0.685715632652724,-0.70277809219199
751199,0.310139713264612,74.8411366939705,466,21,2.37592,"Sapin pectiné","Forêts domaniales RF",0.198376687907103,-1.59817655251772,2.37865974667509,0.205601523064756,-1.80361458507954,1.69334169474412,0.537067763769707,-0.771695852487279,2.26626321530096,0.15065796453075,-1.29621575031542,1.80849263367362,-0.18393721213135,-0.225349761533496,-0.238464675048924,-0.274765901142308,-0.303408706192907,-0.327764592946772,-0.344465248484944,-0.361149655813968,-0.381432291758532,-0.392562461072533,-0.400109623595276,-0.409643519593967,-0.419681170417394,-0.426340868521162,-0.433182950760607,-0.44298041733755,-0.451676505335517,-0.466001602150279,-0.478550997676738,-0.492784965158238,-0.512194259107115,-0.528894416756551,-0.550144352297348,-0.568179078285704
740332,0.29384085761085,249.626883753453,384,29.3999977111816,1.19309,"Sapin pectiné","Forêts privées et autres - En PSG",0.202399498435553,-1.56728974778237,2.38315829397181,0.198259250610103,-1.85415942606591,1.66225514154185,0.540673200011848,-0.796829323727071,2.25254029782527,0.153234765209461,-1.27350245052492,1.82307524954663,-0.397878282943296,-0.510710182730973,-0.579775382744086,-0.655486076363763,-0.711320044819188,-0.75670964748102,-0.795017941029012,-0.82933680239393,-0.861347995239757,-0.881491379751917,-0.896804718901348,-0.911887460413438,-0.923482435153168,-0.932927145777845,-0.939928646851839,-0.949945286026902,-0.960413033388572,-0.973680761908866,-0.986144484074902,-1.00005774378163,-1.0161736664939,-1.02977921994248,-1.04409152087622,-1.05489825423818
701937,0.195429222154134,22.9344223726288,445,108,1.20378,"Hêtre","Forêts domaniales RF",0.188022367303041,-1.58955882233613,2.44149143448341,0.19515495628772,-1.81958838768828,1.65646208070281,0.527363423849319,-0.81924231306072,2.25348792532144,0.144704334649396,-1.32460894531872,1.8099260519466,-0.352616956245284,-0.448318165906388,-0.505257917022111,-0.574262270622595,-0.625748376191073,-0.669039996140333,-0.705741703700121,-0.739056756902724,-0.771232733291343,-0.791106674073294,-0.807027987376781,-0.823045863180184,-0.836206582606507,-0.846671064983122,-0.854954170257304,-0.866703514169414,-0.878681054644275,-0.894080817557698,-0.908308558452079,-0.923918659175231,-0.942425778804081,-0.958215083762297,-0.975165544572764,-0.988879121878551
750486,0.357771588035413,169.332259630421,507,75.5999984741211,1.23346,"Sapin pectiné","Forêts privées et autres - En PSG",0.178393206829851,-1.59436723678254,2.53325409461348,0.191916431639444,-1.82443308811209,1.63917744596125,0.507067632418607,-0.839331571573195,2.28248895564848,0.14020503396578,-1.33235071070354,1.82226255352649,-0.464081997129405,-0.589967730240977,-0.670174719547702,-0.748938137618722,-0.808637996648241,-0.855861466095021,-0.895923210492114,-0.930887846795121,-0.962195799040329,-0.982034132552606,-0.997676051501099,-1.01265055824534,-1.02391470351515,-1.03284467552435,-1.0393537503638,-1.0490391494241,-1.05990404096034,-1.07247917681233,-1.08454932617123,-1.0976348524003,-1.11207554354452,-1.12489546835345,-1.13766124729669,-1.14690728523166
758280,0.115666036341636,112.838398265349,295,56.6999969482422,2.95443,"Hêtre","Forêts domaniales RF",0.24205736870631,-1.49758643390308,2.34685412790302,0.187571852830756,-1.90863676738051,1.66889261111338,0.537161113355897,-0.735547094381079,2.19191192956365,0.163386356746833,-1.20834231667195,1.87356767817896,-0.158062915157795,-0.219492243722683,-0.241772211273594,-0.272760351264669,-0.289330367470484,-0.304910229462939,-0.31665564883481,-0.328434788306786,-0.341353040594966,-0.344213804382707,-0.349053648768738,-0.355737760656663,-0.361063494655625,-0.364953313384214,-0.36180804909508,-0.360457528904355,-0.360388231830197,-0.36590915238068,-0.371141357417224,-0.378148773866912,-0.388312434160266,-0.397087459687195,-0.410105697367903,-0.420183538642672
772844,0.132673677423967,76.9919953542283,417,17.5,2.15281,"Sapin pectiné","Autres forêts publiques RF",0.233381009869729,-1.5108716797396,2.48695548484499,0.210825711010176,-1.85736161348331,1.64688773473701,0.571530544991541,-0.772653690875184,2.21392412759767,0.160320005967117,-1.25120387574254,1.83281455965543,-0.426723236391877,-0.551215977230181,-0.627786779241708,-0.705780636647227,-0.762958260193262,-0.808494920129788,-0.845427406894501,-0.879656925450469,-0.909819532454953,-0.92936715562015,-0.943778610701038,-0.95720556650272,-0.967044004210108,-0.97547715843933,-0.980764513063396,-0.988282352813875,-0.995624288252561,-1.00621205407394,-1.01633236736919,-1.02735328929935,-1.04017779851562,-1.05075279783585,-1.06220599826063,-1.07010926615169
