"idp","rich","ser_86","pro_psg","elev","tcar","esspre_fr"
1007112,12,"F22","publics - domaniales",66,4,"R"
1013305,12,"F23","privé - psg",134,8,"R"
1003007,24,"H42","privé - sans psg",1218,3,"R"
1022620,21,"G13","privé - psg",626,4,"F"
1002291,8,"D11","publis - communales",446,9,"R"
1010155,9,"C30","publis - communales",247,9,"F"
1019445,20,"F21","privé - psg",101,10,"F"
1012207,21,"G21","privé - sans psg",757,6,"R"
1027356,54,"H21","privé - sans psg",1455,9,"R"
1030569,21,"J23","privé - sans psg",777,1,"F"
1023087,7,"F21","privé - psg",61,0,"R"
1014225,19,"F12","privé - sans psg",135,9,"F"
1016304,18,"C30","privé - sans psg",249,10,"F"
1000790,10,"B32","privé - psg",143,9,"R"
1000670,17,"B41","privé - sans psg",154,9,"F"
1005114,13,"B10","privé - sans psg",178,9,"F"
1014656,3,"F22","privé - sans psg",19,0,"F"
1008132,31,"B32","privé - psg",29,9,"F"
1023523,30,"C11","privé - sans psg",173,9,"F"
1003137,49,"G90","publics - domaniales",274,10,"F"
1009370,18,"J30","privé - sans psg",260,7,"R"
1023466,31,"C20","publics - domaniales",474,8,"F"
1020178,37,"I21","publis - communales",1377,7,"R"
1016968,30,"G22","publics - domaniales",759,7,"F"
1014133,16,"G23","privé - sans psg",409,9,"F"
1012756,27,"C20","publis - communales",273,10,"F"
1024429,22,"C51","privé - psg",213,9,"F"
1019833,26,"F30","privé - sans psg",261,10,"F"
1011553,20,"B23","privé - sans psg",190,10,"F"
1015173,17,"F40","privé - sans psg",183,2,"F"
1021676,14,"B61","privé - sans psg",101,10,"F"
1012507,12,"A11","privé - sans psg",155,10,"F"
1007292,25,"I11","privé - sans psg",284,8,"F"
1009006,33,"H41","publis - communales",1635,3,"R"
1025874,16,"B61","privé - psg",96,0,"F"
1022405,16,"D11","privé - psg",512,10,"R"
1029077,16,"C30","publis - communales",400,9,"F"
1023044,21,"G50","privé - psg",521,7,"R"
1009534,22,"B52","privé - psg",183,10,"F"
1029859,16,"B53","publics - domaniales",245,9,"F"
1005409,22,"I21","publis - communales",1237,4,"F"
1026116,18,"B62","privé - psg",142,9,"F"
1024388,13,"B33","privé - psg",137,9,"F"
1018628,19,"G11","privé - sans psg",359,6,"F"
1027597,32,"G30","privé - sans psg",1108,5,"F"
1001024,18,"J40","privé - psg",719,2,"F"
1022471,10,"B61","privé - sans psg",97,5,"F"
1026039,10,"G50","publis - communales",440,10,"R"
1014986,34,"C41","privé - sans psg",180,9,"F"
1008204,31,"B41","publics - domaniales",167,8,"R"
1009514,24,"F51","privé - sans psg",249,9,"F"
1019785,15,"D12","publics - domaniales",354,9,"F"
1022184,6,"B22","privé - sans psg",17,9,"F"
1019088,15,"F23","privé - sans psg",55,10,"F"
1025234,18,"B41","privé - sans psg",96,7,"F"
1005499,20,"J22","privé - sans psg",312,1,"R"
1022281,12,"A22","privé - psg",93,9,"F"
1023084,20,"J23","publis - communales",247,9,"R"
1029002,48,"H10","privé - sans psg",1663,4,"F"
1003920,16,"C20","publis - communales",265,10,"F"
1004604,25,"H41","publis - communales",1233,1,"R"
1014876,14,"B32","privé - psg",180,9,"F"
1017588,21,"K11","privé - sans psg",459,8,"F"
1011396,38,"C51","privé - sans psg",191,9,"F"
1011765,30,"C12","privé - sans psg",133,9,"F"
1001841,14,"B61","privé - sans psg",108,10,"F"
1029168,19,"G13","privé - sans psg",706,8,"F"
1018504,12,"B70","privé - psg",101,7,"F"
1026122,20,"C20","privé - sans psg",457,9,"F"
1010132,18,"C20","publis - communales",383,0,"F"
1000954,13,"F23","privé - sans psg",66,4,"R"
1030661,9,"B41","publis - communales",30,9,"F"
1024275,7,"B31","privé - psg",221,3,"F"
1010917,36,"F30","privé - sans psg",304,10,"F"
1024668,25,"E10","publis - communales",309,10,"F"
1027457,18,"A13","privé - sans psg",60,8,"F"
1024557,17,"A13","privé - sans psg",96,8,"F"
1009135,21,"B53","publics - domaniales",274,10,"F"
1022911,24,"H22","privé - sans psg",1208,10,"R"
1011347,20,"I21","publics - domaniales",915,9,"F"
1024626,42,"B82","privé - psg",118,9,"F"
1000239,10,"K13","privé - sans psg",100,9,"F"
1028438,25,"F15","privé - sans psg",122,9,"F"
1005718,35,"G22","privé - sans psg",1175,8,"R"
1004044,24,"B10","privé - sans psg",199,8,"F"
1000349,13,"C30","publics - domaniales",218,10,"F"
1013437,37,"D11","publics - domaniales",226,8,"R"
1014445,27,"C20","privé - sans psg",293,8,"R"
1000853,27,"F23","privé - sans psg",71,8,"F"
1027568,19,"D11","publis - communales",861,8,"R"
1014385,76,"H10","privé - sans psg",1644,5,"R"
1020643,58,"H22","privé - sans psg",1349,8,"R"
1020088,14,"H42","publis - communales",1532,8,"R"
1012494,43,"I11","privé - sans psg",357,10,"F"
1001753,16,"A22","privé - sans psg",41,10,"F"
1007904,38,"C20","publis - communales",340,7,"F"
1004672,20,"B62","privé - psg",119,10,"F"
1022611,14,"J30","publics - domaniales",57,4,"F"
1002897,13,"B42","publis - communales",87,9,"F"
1022846,22,"G11","privé - sans psg",269,7,"F"
1014916,30,"C52","privé - sans psg",425,10,"F"
1022829,21,"B41","privé - sans psg",81,10,"F"
1009870,65,"G30","privé - sans psg",937,8,"R"
1030982,20,"C42","privé - sans psg",403,10,"F"
1016369,24,"H30","publis - communales",915,7,"F"
1029312,17,"B42","publis - communales",263,10,"F"
1000251,31,"C12","privé - sans psg",206,8,"F"
1014751,32,"C52","privé - sans psg",189,4,"F"
1000490,6,"F21","privé - psg",89,0,"R"
1007787,50,"E10","privé - sans psg",552,9,"R"
1006115,39,"G41","privé - sans psg",516,10,"F"
1009753,9,"F21","publis - communales",149,4,"R"
1027377,27,"A11","privé - sans psg",68,2,"F"
1016426,23,"G42","privé - sans psg",954,9,"F"
1030259,12,"B31","privé - sans psg",41,9,"F"
1003703,69,"H22","publis - communales",1371,6,"R"
1028954,29,"C41","publis - communales",139,9,"F"
1007971,26,"F30","privé - psg",289,10,"R"
1021820,10,"G13","privé - sans psg",568,9,"F"
1002479,87,"H10","publis - communales",1201,9,"R"
1004671,10,"A21","privé - psg",88,10,"R"
1026154,48,"I12","publics - domaniales",1523,9,"R"
1007252,18,"G70","privé - sans psg",980,8,"R"
1006576,29,"G60","privé - sans psg",759,3,"F"
1025054,31,"A11","privé - sans psg",239,5,"F"
1011308,10,"F23","privé - sans psg",57,8,"R"
1015475,16,"B41","privé - sans psg",80,9,"F"
1021568,14,"A13","privé - sans psg",207,8,"F"
1017895,41,"G80","publics - domaniales",545,7,"R"
1013984,9,"I21","publics - domaniales",1265,5,"R"
1030123,10,"H42","privé - sans psg",2140,2,"R"
1018154,34,"C20","publis - communales",369,9,"F"
1017154,13,"B33","privé - psg",165,10,"F"
1024249,41,"E10","publis - communales",655,8,"F"
1008264,19,"B10","privé - psg",108,7,"F"
1004028,11,"A21","privé - sans psg",38,8,"F"
1026001,12,"C20","publis - communales",340,10,"F"
1009260,12,"B41","privé - psg",140,9,"F"
1020069,12,"B61","privé - psg",87,10,"F"
1007076,29,"H30","privé - sans psg",596,10,"F"
1011272,27,"I21","privé - sans psg",782,1,"F"
1027484,30,"B70","privé - sans psg",117,10,"F"
1012004,11,"F23","privé - sans psg",47,3,"F"
1014025,13,"D12","publics - domaniales",281,6,"F"
1023542,27,"B70","privé - psg",144,10,"F"
1006352,8,"B33","publics - domaniales",167,10,"F"
1022313,42,"C20","privé - psg",289,8,"F"
1019915,27,"B42","privé - sans psg",194,9,"F"
1006354,6,"F21","privé - sans psg",40,2,"R"
1024020,10,"I11","publis - communales",477,5,"F"
1028746,49,"E10","privé - sans psg",588,9,"F"
1014603,17,"F40","privé - psg",370,9,"R"
1025699,15,"C30","privé - sans psg",220,9,"F"
1021794,18,"C20","privé - sans psg",263,7,"F"
1007127,18,"B53","privé - psg",242,9,"F"
1024323,37,"F51","privé - sans psg",116,9,"F"
1019014,54,"G30","privé - sans psg",834,9,"F"
1022122,64,"E20","publics - domaniales",709,9,"R"
1015638,21,"G13","privé - sans psg",530,7,"R"
1020540,23,"F51","privé - sans psg",60,9,"F"
1012790,9,"A22","privé - sans psg",50,10,"F"
1010851,32,"C20","privé - sans psg",290,7,"F"
1006314,50,"C20","publis - communales",342,9,"F"
1001141,21,"G13","privé - sans psg",534,10,"F"
1027055,33,"G22","privé - sans psg",826,10,"F"
1025520,24,"C20","privé - sans psg",258,7,"F"
1016035,16,"C51","privé - sans psg",285,9,"F"
1014153,18,"D11","publics - domaniales",801,8,"R"
1001913,21,"C20","publis - communales",309,8,"F"
1028351,44,"G22","privé - sans psg",971,10,"R"
1002810,26,"G22","privé - sans psg",848,9,"R"
1028731,22,"F51","privé - sans psg",42,10,"F"
1015860,31,"F40","privé - sans psg",177,10,"F"
1020281,27,"C12","publics - domaniales",253,9,"F"
1019231,18,"J40","privé - sans psg",381,6,"F"
1020133,12,"B91","privé - sans psg",190,10,"F"
1008232,23,"B81","privé - sans psg",77,5,"F"
1007487,13,"A13","privé - psg",131,10,"R"
1013525,13,"C51","publis - communales",307,10,"F"
1017977,15,"G11","privé - sans psg",303,10,"F"
1027827,13,"B42","privé - psg",191,10,"F"
1006859,26,"G50","privé - sans psg",204,10,"F"
1028492,34,"H22","publis - communales",1258,9,"F"
1023909,32,"F51","privé - sans psg",157,8,"F"
1018009,32,"K12","privé - sans psg",887,3,"F"
1027093,34,"C30","privé - sans psg",290,10,"F"
1010967,20,"B70","privé - psg",167,6,"F"
1010109,22,"G13","privé - psg",514,1,"F"
1031328,15,"G22","privé - sans psg",1010,10,"R"
1003805,15,"A13","privé - psg",263,9,"R"
1011102,16,"B91","privé - sans psg",180,10,"F"
1021621,58,"H10","privé - sans psg",1416,9,"R"
1008488,13,"D11","privé - sans psg",359,7,"F"
1016129,12,"B41","publics - domaniales",72,7,"R"
1030033,22,"B43","privé - sans psg",181,2,"R"
1007009,20,"K13","privé - sans psg",234,1,"F"
1026572,37,"J23","privé - sans psg",524,0,"R"
1009087,53,"H22","privé - sans psg",1123,9,"F"
1004884,38,"G13","privé - sans psg",427,7,"F"
1014041,13,"B62","privé - sans psg",59,2,"F"
1020248,21,"E10","privé - sans psg",642,10,"F"
1028908,27,"B51","publis - communales",139,9,"F"
1022153,16,"H30","privé - psg",1034,10,"F"
1001821,19,"B62","privé - sans psg",125,10,"F"
1014414,22,"B62","privé - sans psg",61,8,"F"
1002404,50,"H21","publis - communales",1339,7,"R"
1010506,20,"B41","privé - sans psg",76,7,"F"
1019459,23,"C20","publis - communales",244,9,"R"
1010035,8,"B52","privé - psg",177,10,"F"
1022511,56,"J23","privé - sans psg",421,9,"R"
1006710,23,"B82","publis - communales",120,9,"F"
1012440,17,"G11","privé - sans psg",154,9,"F"
1016334,26,"G11","privé - psg",362,7,"R"
1010152,25,"I12","privé - sans psg",475,3,"R"
1022733,35,"J10","privé - sans psg",149,6,"R"
1020014,19,"B41","privé - sans psg",97,9,"F"
1006655,15,"C51","publis - communales",214,9,"F"
1019189,22,"A30","privé - sans psg",141,2,"F"
1006079,27,"F12","privé - sans psg",53,7,"F"
1026600,14,"B41","privé - sans psg",136,10,"F"
1015725,17,"F11","privé - sans psg",182,10,"F"
1030020,25,"C30","publis - communales",255,7,"F"
1030623,10,"F21","privé - psg",54,0,"R"
1028127,17,"B41","privé - sans psg",40,8,"F"
1025216,9,"G50","privé - sans psg",358,10,"F"
1003794,27,"E10","privé - sans psg",627,1,"F"
1030224,11,"B33","privé - sans psg",143,10,"F"
1011458,54,"J22","privé - sans psg",64,5,"R"
1015632,17,"F51","publis - communales",183,0,"F"
1001146,9,"F23","privé - sans psg",136,8,"R"
1012103,18,"F23","privé - sans psg",178,0,"F"
1013230,27,"B41","publics - domaniales",140,8,"F"
1017576,20,"G70","privé - sans psg",931,5,"F"
1020323,17,"C42","privé - sans psg",326,9,"F"
1000427,28,"C30","publis - communales",307,10,"F"
1020223,1,"B81","privé - psg",90,0,"R"
1014223,24,"G11","privé - sans psg",371,9,"F"
1018608,14,"H10","privé - sans psg",779,9,"F"
1027525,23,"C11","privé - psg",238,7,"R"
1005845,34,"B43","privé - sans psg",99,8,"F"
1014044,8,"G21","privé - psg",889,0,NA
1012310,68,"E20","privé - sans psg",1042,8,"R"
1010092,12,"B92","privé - psg",404,10,"F"
1022340,7,"B53","publics - domaniales",329,10,"F"
1024511,45,"H10","privé - sans psg",906,9,"R"
1015347,13,"F52","privé - sans psg",41,0,"F"
1018117,19,"G11","privé - sans psg",241,10,"F"
1010010,32,"C30","publics - domaniales",259,8,"F"
1015673,9,"F30","privé - sans psg",163,4,"F"
1003735,20,"B41","privé - sans psg",82,10,"F"
1025063,14,"A11","publics - domaniales",173,8,"R"
1004436,91,"E20","privé - sans psg",948,9,"R"
1017110,19,"C30","privé - psg",193,9,"R"
1008908,21,"C11","publis - communales",259,10,"R"
1011149,35,"C20","privé - sans psg",287,5,"R"
1018185,26,"B41","privé - sans psg",124,10,"F"
1011595,16,"B82","privé - sans psg",114,7,"F"
1003752,24,"F14","privé - sans psg",133,5,"F"
1027546,49,"G30","publis - communales",858,9,"R"
1002599,24,"C52","privé - sans psg",187,2,"F"
1002209,20,"H30","privé - sans psg",1368,3,"R"
1023407,28,"C41","privé - sans psg",207,10,"F"
1020555,20,"G13","privé - sans psg",574,10,"F"
1026306,23,"B61","privé - sans psg",73,10,"F"
1012889,10,"F51","privé - sans psg",235,2,"F"
1015226,17,"B32","publis - communales",195,9,"F"
1002664,33,"G22","privé - sans psg",444,10,"R"
1030089,21,"B33","privé - sans psg",93,10,"F"
1013019,8,"F52","privé - sans psg",125,6,"R"
1017575,8,"J22","privé - sans psg",114,9,"F"
1018991,12,"G23","privé - psg",617,8,"F"
1023678,23,"B10","privé - sans psg",125,1,"F"
1017313,47,"G90","privé - psg",331,10,"F"
1018995,31,"K12","publis - communales",1537,3,"F"
1000556,28,"J22","privé - sans psg",95,6,"R"
1028925,26,"J23","privé - sans psg",342,3,"F"
1012050,43,"B92","privé - sans psg",262,8,"R"
1012866,16,"B53","privé - sans psg",265,10,"F"
1028053,18,"F15","privé - sans psg",162,10,"F"
1006139,28,"F15","privé - sans psg",158,10,"F"
1001169,21,"C51","privé - psg",206,10,"F"
1003263,29,"F15","privé - sans psg",128,9,"F"
1030238,29,"J40","privé - sans psg",277,8,"F"
1019315,2,"D11","publics - domaniales",290,10,"F"
1002547,23,"G50","publis - communales",339,10,"F"
1000969,31,"G42","privé - sans psg",1042,8,"R"
1013733,14,"G23","privé - psg",636,9,"R"
1011540,33,"G22","privé - psg",890,8,"R"
1013274,10,"C52","privé - sans psg",744,9,"F"
1004015,24,"G23","privé - sans psg",645,7,"F"
1023440,40,"B51","privé - sans psg",139,5,"F"
1025526,24,"G11","privé - psg",275,9,"F"
1027877,20,"H10","privé - sans psg",1109,10,"F"
1018789,35,"D11","privé - sans psg",684,1,"F"
1021380,20,"C30","privé - sans psg",251,10,"F"
1009099,11,"J22","privé - sans psg",2,7,"F"
1026261,13,"B61","privé - psg",75,5,"R"
1024032,8,"G80","publis - communales",1000,10,"F"
1030672,11,"B41","publics - domaniales",174,7,"F"
1019934,21,"G42","privé - sans psg",880,9,"F"
1030829,19,"C20","privé - psg",357,0,"F"
1004255,12,"C11","publics - domaniales",453,8,"R"
1014663,29,"I12","privé - sans psg",970,3,"R"
1008935,17,"B82","privé - sans psg",152,0,"F"
1015944,44,"H10","privé - sans psg",611,10,"F"
1017688,9,"I21","privé - sans psg",1077,10,"F"
1018331,25,"J23","privé - sans psg",441,6,"F"
1027177,12,"B62","privé - psg",124,7,"F"
1017359,51,"H10","publics - domaniales",1231,9,"F"
1010502,10,"B81","privé - sans psg",104,10,"F"
1006954,12,"G22","privé - sans psg",962,9,"F"
1026019,30,"C20","privé - sans psg",237,9,"F"
1003041,28,"G60","privé - sans psg",645,6,"F"
1027643,20,"H30","publics - domaniales",1031,7,"F"
1000457,26,"G23","privé - psg",553,10,"R"
1022884,17,"B42","privé - psg",106,9,"F"
1023260,26,"G22","privé - sans psg",783,10,"R"
1020986,26,"A11","privé - sans psg",244,8,"F"
1018459,37,"B51","privé - psg",159,4,"F"
1020799,14,"B70","privé - psg",118,10,"F"
1026624,8,"D11","publics - domaniales",432,9,"R"
1014058,28,"F12","privé - sans psg",88,10,"F"
1012680,20,"C11","publics - domaniales",306,8,"F"
1006864,16,"C51","privé - sans psg",204,9,"F"
1017387,18,"F21","privé - sans psg",13,6,"R"
1025225,16,"C30","privé - sans psg",245,5,"F"
1015659,19,"G21","publis - communales",921,8,"R"
1011883,35,"F30","privé - sans psg",229,8,"F"
1017088,30,"H30","privé - psg",860,5,"F"
1018843,20,"B62","privé - sans psg",115,9,"F"
1003108,33,"E10","privé - sans psg",519,9,"F"
1018862,27,"J23","privé - sans psg",271,9,"R"
1028391,32,"I11","privé - sans psg",276,9,"F"
1019916,31,"C51","privé - sans psg",244,10,"F"
1006628,13,"C20","privé - psg",291,10,"F"
1007806,33,"E20","privé - sans psg",1105,10,"F"
1006630,20,"B70","publics - domaniales",128,10,"F"
1020612,26,"G11","privé - sans psg",181,8,"F"
1023638,26,"B62","privé - psg",121,10,"F"
1019846,23,"C20","privé - sans psg",364,10,"F"
1020515,33,"G90","privé - psg",368,6,"F"
1029011,30,"C20","privé - psg",274,10,"F"
1000895,26,"B42","privé - psg",230,9,"F"
1027688,87,"E10","publis - communales",736,9,"R"
1028066,50,"G22","publis - communales",615,8,"F"
1009799,16,"C42","publis - communales",453,4,"F"
1030392,13,"B10","publics - domaniales",82,7,"F"
1021848,32,"G42","privé - sans psg",663,8,"R"
1029611,21,"C51","privé - psg",305,10,"F"
1028815,26,"C51","publics - domaniales",238,7,"F"
1027187,42,"E10","publis - communales",309,1,"F"
1011425,30,"G80","privé - sans psg",545,9,"R"
1028418,18,"B70","privé - psg",116,10,"F"
1013128,11,"G23","privé - psg",416,10,"F"
1007744,23,"B53","privé - sans psg",183,8,"F"
1026639,54,"G22","privé - sans psg",724,1,"F"
1027092,48,"G22","privé - sans psg",1059,10,"R"
1020615,33,"H42","publis - communales",2126,8,"R"
1028077,18,"F15","privé - sans psg",265,10,"F"
1030803,20,"J23","privé - sans psg",342,1,"R"
1004305,12,"G70","privé - sans psg",618,4,"R"
1030706,17,"F40","privé - sans psg",398,8,"F"
1010758,32,"H21","privé - sans psg",1713,6,"R"
1022255,9,"B10","privé - sans psg",14,9,"R"
1017255,28,"F52","publis - communales",298,8,"F"
1020293,36,"H30","privé - sans psg",1233,8,"R"
1001090,17,"A11","privé - sans psg",97,7,"F"
1029940,34,"I21","publis - communales",1391,10,"R"
1027410,22,"B62","privé - sans psg",128,9,"F"
1003881,14,"H41","privé - sans psg",849,10,"F"
1007737,10,"F22","publics - domaniales",14,4,"F"
1023122,17,"J40","privé - sans psg",140,10,"F"
1012353,27,"G11","privé - sans psg",210,9,"F"
1028273,19,"J23","privé - sans psg",448,6,"F"
1029908,62,"E20","privé - sans psg",1104,7,"R"
1009170,20,"B43","privé - sans psg",92,9,"F"
1017899,13,"A22","privé - psg",109,10,"F"
1016679,25,"G42","privé - sans psg",1155,2,"F"
1031264,15,"A11","privé - sans psg",30,9,"F"
1006900,10,"F21","privé - psg",26,5,"R"
1009183,27,"B62","privé - psg",121,8,"F"
1021314,17,"B70","privé - psg",163,6,"F"
1002696,25,"C51","privé - psg",207,0,"F"
1013467,14,"F15","privé - sans psg",195,0,"R"
1008271,16,"B42","privé - psg",210,9,"F"
1025645,16,"A12","privé - psg",127,10,"F"
1026033,31,"A11","privé - sans psg",118,5,"F"
1017082,24,"B32","privé - sans psg",145,9,"F"
1017952,9,"A21","privé - sans psg",35,7,"R"
1007800,19,"C20","privé - psg",416,7,"F"
1014714,30,"B43","privé - sans psg",139,2,"F"
1005929,14,"C30","publis - communales",211,9,"F"
1009480,13,"G13","privé - sans psg",536,10,"F"
1005354,25,"E20","privé - sans psg",1060,1,"F"
1017947,17,"G13","privé - sans psg",527,4,"F"
1013592,89,"G30","privé - sans psg",1074,7,"F"
1021807,30,"B91","privé - sans psg",124,6,"F"
1010036,21,"C51","publis - communales",197,8,"F"
1007821,14,"C30","privé - sans psg",227,10,"F"
1005699,21,"B33","privé - psg",249,10,"F"
1013797,38,"C20","publics - domaniales",382,6,"F"
1004470,40,"I11","publis - communales",331,7,"F"
1011502,15,"F30","privé - sans psg",104,7,"F"
1001641,40,"F40","privé - psg",306,7,"F"
1005098,26,"I21","publis - communales",1415,9,"R"
1014666,27,"B42","publics - domaniales",101,8,"F"
1004017,9,"F21","privé - sans psg",60,0,"F"
1019335,12,"C30","publis - communales",236,8,"F"
1001793,15,"A30","privé - sans psg",56,6,"F"
1021763,17,"F21","privé - psg",55,1,"F"
1005128,31,"H22","privé - sans psg",2092,2,"R"
1007784,26,"D11","publis - communales",784,7,"R"
1004234,41,"H10","privé - sans psg",898,9,"R"
1025629,20,"B51","privé - psg",170,8,"F"
1030311,11,"B41","privé - psg",98,1,"F"
1005072,20,"B92","privé - psg",331,7,"F"
1016776,21,"I11","privé - sans psg",316,10,"F"
1010480,26,"C20","publis - communales",260,10,"F"
1011386,26,"B51","publis - communales",152,6,"F"
1012059,47,"G22","privé - sans psg",489,10,"R"
1022691,17,"K12","publis - communales",1458,8,"R"
1000926,30,"B43","publics - domaniales",205,8,"F"
1014275,18,"B31","privé - sans psg",59,10,"R"
1012926,19,"C51","publics - domaniales",229,9,"F"
1008544,40,"G30","privé - sans psg",928,8,"R"
1018694,24,"B51","publis - communales",147,3,"F"
1004753,22,"B10","privé - psg",184,9,"R"
1006877,28,"C30","publis - communales",238,9,"F"
1010065,36,"I22","privé - sans psg",1246,9,"R"
1026417,19,"G13","privé - sans psg",637,9,"F"
1004782,21,"C30","privé - sans psg",211,9,"F"
1028766,31,"G41","privé - sans psg",388,10,"F"
1002016,21,"C20","privé - psg",331,9,"F"
1004462,17,"I21","publis - communales",981,9,"F"
1014377,68,"H10","publis - communales",1299,8,"R"
1003503,33,"B43","privé - sans psg",123,6,"F"
1013818,41,"C20","publis - communales",273,10,"F"
1009045,24,"A21","privé - psg",48,10,"F"
1005312,16,"J23","publis - communales",150,4,"F"
1005534,7,"E10","publis - communales",552,10,"F"
1031395,21,"A21","privé - sans psg",22,10,"F"
1029799,17,"G13","privé - sans psg",481,9,"F"
1019243,28,"F14","privé - sans psg",112,9,"F"
1022111,19,"C20","privé - sans psg",412,6,"F"
1008006,65,"C20","publis - communales",227,8,"F"
1001738,16,"A22","privé - sans psg",8,9,"F"
1012450,19,"G23","privé - sans psg",431,10,"F"
1019167,10,"G42","privé - sans psg",651,10,"R"
1015107,16,"B41","privé - sans psg",107,10,"F"
1002519,19,"F52","privé - sans psg",170,10,"F"
1024910,10,"F21","privé - psg",96,0,"R"
1013435,19,"B91","privé - psg",204,10,"F"
1004185,17,"B91","publis - communales",137,10,"F"
1001752,21,"B10","privé - sans psg",138,8,"F"
1022492,7,"B10","privé - sans psg",97,10,"F"
1021202,18,"G12","privé - sans psg",418,9,"R"
1010708,32,"B42","privé - sans psg",186,10,"F"
1019337,29,"K12","publis - communales",1662,3,"F"
1018388,8,"B41","publics - domaniales",177,8,"R"
1008069,35,"J40","privé - sans psg",178,9,"F"
1015523,9,"F21","privé - psg",80,0,"F"
1018963,13,"D12","publis - communales",445,9,"F"
1020725,23,"I11","privé - sans psg",282,8,"F"
1024758,30,"C20","publics - domaniales",227,9,"F"
1015163,31,"D11","privé - psg",393,7,"R"
1014060,11,"D11","publis - communales",851,8,"R"
1006797,16,"B41","privé - sans psg",126,10,"F"
1004148,31,"C20","privé - psg",382,4,"F"
1008291,15,"F21","privé - psg",78,0,"F"
1022176,24,"B23","privé - sans psg",131,7,"F"
1012159,25,"I21","publics - domaniales",951,10,"F"
1018413,30,"C20","privé - sans psg",180,9,"F"
1021701,20,"B10","privé - psg",156,8,"F"
1016714,41,"H30","publics - domaniales",857,9,"R"
1018767,69,"H22","publis - communales",1799,6,"R"
1018909,19,"F52","privé - sans psg",117,9,"F"
1030773,10,"C20","privé - sans psg",334,10,"R"
1015110,46,"J23","publis - communales",259,5,"R"
1022843,32,"C20","publis - communales",481,5,"F"
1015609,30,"D12","privé - sans psg",411,9,"F"
1024912,21,"J40","privé - sans psg",714,9,"F"
1022261,9,"F23","privé - sans psg",65,10,"F"
1018636,18,"G42","privé - sans psg",473,9,"F"
1004953,13,"F15","privé - sans psg",188,10,"F"
1026337,23,"F23","privé - sans psg",122,10,"F"
1007862,11,"C20","publis - communales",272,10,"F"
1027732,44,"I21","publis - communales",898,4,"F"
1018326,40,"I22","publics - domaniales",2011,5,"R"
1009910,60,"C52","privé - sans psg",525,9,"F"
1004706,57,"E20","privé - sans psg",1203,9,"F"
1004819,16,"G80","privé - psg",534,9,"F"
1004731,22,"G60","privé - sans psg",781,1,"F"
1011908,27,"K12","privé - sans psg",704,3,"F"
1003235,15,"H41","publis - communales",1841,5,"R"
1007084,27,"F40","privé - sans psg",245,10,"F"
1003675,8,"B10","privé - psg",65,8,"F"
1011125,12,"B61","privé - sans psg",45,9,"F"
1029743,28,"G90","privé - sans psg",324,10,"F"
1009765,16,"C30","publics - domaniales",186,9,"F"
1018135,10,"B91","privé - psg",204,9,"F"
1030085,14,"F51","publis - communales",83,7,"R"
1030680,23,"B51","privé - sans psg",182,10,"F"
1021040,12,"A13","privé - psg",188,9,"R"
1003351,22,"H10","privé - sans psg",993,9,"F"
1031088,12,"B52","privé - psg",228,9,"F"
1005602,25,"C20","publis - communales",251,10,"F"
1019260,27,"G11","privé - sans psg",210,6,"F"
1029697,24,"F40","privé - sans psg",282,2,"F"
1017290,22,"G23","privé - sans psg",418,7,"R"
1019450,16,"B70","publics - domaniales",130,10,"F"
1006386,22,"G42","privé - psg",1136,8,"R"
1004596,42,"H30","privé - sans psg",870,9,"F"
1021062,17,"C30","publis - communales",370,8,"F"
1013197,21,"I12","publis - communales",1364,9,"F"
1004370,29,"B43","privé - sans psg",207,10,"F"
1010087,25,"G21","privé - psg",752,5,"R"
1003545,16,"A13","privé - psg",151,9,"F"
1021003,35,"B42","privé - sans psg",149,4,"F"
1018730,45,"F40","privé - sans psg",201,7,"F"
1017106,48,"G22","publis - communales",634,9,"F"
1023354,15,"B10","privé - sans psg",54,8,"F"
1016719,25,"B44","privé - sans psg",76,10,"F"
1017118,27,"B41","privé - sans psg",143,10,"F"
1022036,28,"I21","publis - communales",965,9,"F"
1004038,19,"B41","privé - sans psg",155,9,"F"
1013617,23,"I21","privé - sans psg",553,8,"F"
1020706,13,"B42","privé - psg",173,9,"F"
1028844,20,"G22","privé - sans psg",755,9,"F"
1025856,29,"F23","privé - sans psg",35,5,"F"
1016616,14,"D11","publics - domaniales",322,8,"F"
1015130,12,"B41","privé - sans psg",119,9,"F"
1003238,29,"C20","privé - psg",394,9,"F"
1018877,21,"D12","publics - domaniales",216,5,"R"
1006548,32,"G22","privé - sans psg",849,9,"R"
1006480,22,"B41","publics - domaniales",87,8,"R"
1019793,24,"F52","publis - communales",59,0,"F"
1005094,51,"H30","privé - sans psg",414,7,"R"
1005148,58,"E20","publis - communales",599,8,"R"
1004337,16,"B31","privé - sans psg",65,10,"F"
1008878,20,"C52","privé - sans psg",439,2,"F"
1028062,16,"G70","privé - sans psg",1018,8,"F"
1022932,10,"A13","privé - sans psg",132,8,"F"
1011707,47,"G22","privé - sans psg",495,9,"F"
1008644,36,"B61","privé - sans psg",62,9,"F"
1013849,28,"B42","privé - sans psg",156,8,"F"
1021424,32,"F15","privé - sans psg",103,10,"F"
1024324,13,"G11","privé - sans psg",343,10,"F"
1002014,15,"G80","privé - sans psg",486,6,"F"
1008802,11,"C51","privé - psg",203,8,"F"
