"idp","rich","ser_86","pro_psg","elev","tcar","esspre_fr"
1019936,17,"J10","privé - sans psg",198,10,"R"
1006443,9,"B41","publics - domaniales",152,9,"F"
1004989,24,"C52","privé - sans psg",204,9,"F"
1010253,14,"C30","privé - sans psg",333,9,"F"
1023322,25,"B23","publics - domaniales",152,10,"F"
1005131,14,"D11","publics - domaniales",478,7,"R"
1026789,31,"G11","privé - sans psg",492,8,"F"
1007847,20,"G22","privé - sans psg",839,9,"R"
1013506,20,"B70","publics - domaniales",89,7,"R"
1006993,30,"I11","privé - sans psg",460,7,"F"
1028131,91,"K13","privé - sans psg",606,6,"F"
1025616,29,"I21","privé - psg",1559,10,"F"
1023809,28,"D11","privé - psg",694,8,"F"
1007392,23,"C51","privé - sans psg",247,10,"F"
1008257,30,"F30","privé - sans psg",310,9,"F"
1021841,19,"G13","privé - sans psg",771,8,"F"
1018004,75,"C52","publis - communales",724,8,"R"
1009763,18,"B91","privé - sans psg",200,7,"F"
1004342,11,"A21","privé - psg",82,6,"R"
1010842,26,"I21","privé - sans psg",783,10,"F"
1014702,11,"D12","publis - communales",333,7,"F"
1021917,11,"F52","privé - sans psg",127,6,"F"
1014386,12,"G22","privé - sans psg",787,10,"F"
1006898,22,"F30","privé - sans psg",170,9,"F"
1028433,15,"C20","privé - psg",237,7,"F"
1011616,11,"I12","privé - sans psg",1049,9,"R"
1013731,28,"B53","publis - communales",272,10,"F"
1021459,35,"C51","privé - sans psg",217,10,"F"
1001163,9,"F21","privé - sans psg",48,4,"R"
1008013,21,"G13","privé - sans psg",701,9,"F"
1000272,22,"F23","privé - sans psg",88,10,"F"
1021651,10,"G22","privé - psg",1064,6,"R"
1012776,25,"G30","publics - domaniales",1230,9,"R"
1012920,6,"F52","privé - sans psg",138,3,"R"
1014554,23,"H30","privé - sans psg",1365,1,"F"
1027277,25,"G22","publis - communales",1182,9,"R"
1019716,10,"F22","privé - psg",19,5,"R"
1011828,26,"C20","publis - communales",320,8,"F"
1009246,56,"D11","privé - sans psg",680,9,"F"
1022416,14,"B81","privé - sans psg",81,9,"F"
1002421,27,"J10","privé - sans psg",287,6,"F"
1007379,42,"C52","privé - sans psg",769,10,"F"
1010452,15,"B10","privé - psg",106,9,"F"
1002424,17,"B42","privé - sans psg",114,10,"F"
1001395,15,"A13","privé - sans psg",278,10,"F"
1022580,19,"G42","privé - sans psg",339,10,"F"
1027333,65,"H21","privé - sans psg",1402,8,"R"
1007813,25,"F13","privé - sans psg",7,2,"F"
1020921,23,"C20","privé - sans psg",315,3,"F"
1020160,22,"H30","privé - sans psg",551,8,"F"
1013231,22,"H10","publis - communales",1079,9,"R"
1025669,35,"E10","privé - sans psg",643,9,"R"
1014450,12,"B43","privé - sans psg",99,10,"F"
1025149,14,"B33","privé - psg",267,9,"F"
1015350,13,"B33","publics - domaniales",164,10,"F"
1004951,11,"D11","publis - communales",364,9,"R"
1004727,12,"B51","privé - sans psg",222,9,"F"
1005679,22,"J22","privé - sans psg",483,6,"F"
1010659,41,"C20","publis - communales",347,4,"F"
1000891,13,"G70","privé - sans psg",609,9,"F"
1016702,17,"F15","privé - sans psg",241,10,"F"
1004972,30,"C20","privé - psg",385,9,"F"
1011966,15,"G30","privé - sans psg",890,9,"R"
1009119,11,"J10","publis - communales",308,7,"F"
1011576,21,"C30","privé - sans psg",244,3,"F"
1015135,52,"H22","privé - sans psg",1778,4,"F"
1024256,14,"D11","publis - communales",765,1,"F"
1008441,16,"C12","privé - sans psg",161,10,"F"
1011340,11,"C30","publis - communales",267,8,"F"
1017173,12,"F11","privé - sans psg",178,1,"F"
1011726,36,"B23","privé - psg",188,7,"F"
1028989,35,"G22","privé - sans psg",966,10,"F"
1020971,20,"C20","publis - communales",318,9,"F"
1026788,20,"B41","publics - domaniales",178,3,"F"
1003167,23,"B62","privé - psg",99,9,"R"
1025055,21,"B82","privé - psg",107,8,"R"
1017485,40,"E10","publis - communales",662,10,"F"
1015221,11,"G21","publics - domaniales",875,7,"R"
1000945,69,"E20","publis - communales",964,8,"R"
1030923,33,"C51","privé - sans psg",254,0,"F"
1017523,13,"B53","privé - psg",224,9,"F"
1020875,10,"B33","privé - psg",208,0,"F"
1004862,15,"H42","publis - communales",1758,2,"R"
1013201,27,"B92","privé - psg",245,9,"F"
